station_code,name,address,suburb,postcode,brand,fuel_code,price,date
1,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",Coffs Harbour,2450,Coles Express,DL,245.9,2026-05-06
1,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",Coffs Harbour,2450,Coles Express,E10,174.9,2026-05-06
1,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",Coffs Harbour,2450,Coles Express,P95,194.4,2026-05-06
1,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",Coffs Harbour,2450,Coles Express,P98,203.9,2026-05-06
1,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",Coffs Harbour,2450,Coles Express,U91,176.9,2026-05-06
2,Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",Glendale,2285,Reddy Express,DL,249.9,2026-05-06
2,Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",Glendale,2285,Reddy Express,E10,179.9,2026-05-06
2,Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",Glendale,2285,Reddy Express,P95,197.4,2026-05-06
2,Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",Glendale,2285,Reddy Express,P98,206.9,2026-05-06
3,Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",Oyster Bay,2225,Coles Express,E10,177.9,2026-05-06
3,Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",Oyster Bay,2225,Coles Express,P95,197.4,2026-05-06
3,Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",Oyster Bay,2225,Coles Express,P98,206.9,2026-05-06
3,Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",Oyster Bay,2225,Coles Express,PDL,249.9,2026-05-06
3,Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",Oyster Bay,2225,Coles Express,U91,179.9,2026-05-06
4,Shell Reddy Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",Tamworth,2340,Reddy Express,DL,245.9,2026-05-06
4,Shell Reddy Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",Tamworth,2340,Reddy Express,P95,199.4,2026-05-06
4,Shell Reddy Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",Tamworth,2340,Reddy Express,P98,208.9,2026-05-06
4,Shell Reddy Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",Tamworth,2340,Reddy Express,U91,181.9,2026-05-06
5,Shell Reddy Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",Bulli,2516,Reddy Express,DL,242.9,2026-05-06
5,Shell Reddy Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",Bulli,2516,Reddy Express,E10,168.9,2026-05-06
5,Shell Reddy Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",Bulli,2516,Reddy Express,P98,197.9,2026-05-06
5,Shell Reddy Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",Bulli,2516,Reddy Express,U91,170.9,2026-05-06
6,Shell Reddy Express Mudgee,"47 Church St (Cnr Mortimer St), Mudgee NSW 2850",Mudgee,2850,Reddy Express,DL,245.9,2026-05-06
6,Shell Reddy Express Mudgee,"47 Church St (Cnr Mortimer St), Mudgee NSW 2850",Mudgee,2850,Reddy Express,U91,181.9,2026-05-06
7,Coles Express Tamworth West,"147-149 Bridge St, Tamworth West NSW 2340",Tamworth West,2340,Coles Express,DL,249.9,2026-05-06
7,Coles Express Tamworth West,"147-149 Bridge St, Tamworth West NSW 2340",Tamworth West,2340,Coles Express,E10,179.9,2026-05-06
7,Coles Express Tamworth West,"147-149 Bridge St, Tamworth West NSW 2340",Tamworth West,2340,Coles Express,P95,199.4,2026-05-06
7,Coles Express Tamworth West,"147-149 Bridge St, Tamworth West NSW 2340",Tamworth West,2340,Coles Express,P98,208.9,2026-05-06
7,Coles Express Tamworth West,"147-149 Bridge St, Tamworth West NSW 2340",Tamworth West,2340,Coles Express,U91,181.9,2026-05-06
10,Shell Reddy Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",Port Macquarie,2444,Reddy Express,DL,249.9,2026-05-06
10,Shell Reddy Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",Port Macquarie,2444,Reddy Express,E10,174.9,2026-05-06
10,Shell Reddy Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",Port Macquarie,2444,Reddy Express,P95,194.4,2026-05-06
10,Shell Reddy Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",Port Macquarie,2444,Reddy Express,P98,203.9,2026-05-06
10,Shell Reddy Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",Port Macquarie,2444,Reddy Express,U91,176.9,2026-05-06
12,Shell Reddy Express Lansvale,"65-99 Hume Highway, Canley Vale NSW 2166",Canley Vale,2166,Reddy Express,DL,249.9,2026-05-06
12,Shell Reddy Express Lansvale,"65-99 Hume Highway, Canley Vale NSW 2166",Canley Vale,2166,Reddy Express,E10,177.9,2026-05-06
