fold_idx,train_start,train_end,val_start,val_end,n_val,baseline_logloss,model_logloss,delta
1,2016-10-30,2021-10-28,2021-11-05,2022-02-02,47823,0.40190510003360563,0.40831465372824544,0.006409553694639802
2,2016-10-30,2022-01-26,2022-02-03,2022-05-03,49966,0.26870690859987884,0.26849969598371043,-0.00020721261616840625
3,2016-10-30,2022-04-26,2022-05-04,2022-08-01,53719,0.37661102227567017,0.3124202560463496,-0.06419076622932057
4,2016-10-30,2022-07-25,2022-08-02,2022-10-30,58317,0.420524291795595,0.4868988438975582,0.06637455210196325
5,2016-10-30,2022-10-23,2022-10-31,2023-01-28,57613,0.2939803554108413,0.27490282243431413,-0.019077532976527145
6,2016-10-30,2023-01-21,2023-01-29,2023-04-28,57361,0.21814575196132616,0.21668746398714098,-0.0014582879741851795
7,2016-10-30,2023-04-21,2023-04-29,2023-07-27,57651,0.2511904800024137,0.2616584818213163,0.010468001818902617
8,2016-10-30,2023-07-20,2023-07-28,2023-10-25,59700,0.30626274795519226,0.30326209320969527,-0.003000654745496989
9,2016-10-30,2023-10-18,2023-10-26,2024-01-23,60022,0.33051669406832346,0.43351189631648984,0.10299520224816638
10,2016-10-30,2024-01-16,2024-01-24,2024-04-22,58953,0.2542584492543355,0.2566909073042305,0.0024324580498950032
11,2016-10-30,2024-04-15,2024-04-23,2024-07-21,59790,0.3441310448127469,0.35347455708499187,0.009343512272244947
12,2016-10-30,2024-07-14,2024-07-22,2024-10-19,60944,0.30485216555616207,0.3453896588915033,0.040537493335341235
13,2016-10-30,2024-10-12,2024-10-20,2025-01-17,59434,0.3000811243941768,0.298686624027857,-0.001394500366319773
14,2016-10-30,2025-01-10,2025-01-18,2025-04-17,57318,0.36191118909925846,0.35813555056756324,-0.0037756385316952135
