fold,val_start,val_end,val_rows,buy_rate,ll_baseline,ll_additive,ll_ablationA,delta_additive,delta_ablationA,delta_abl_vs_add,fit_s_baseline,fit_s_additive,fit_s_ablationA
1,2021-11-05,2022-02-02,47823,0.3050415072245572,0.40190510003360563,0.38899249376875916,0.5030402571732889,-0.012912606264846471,0.1011351571396833,0.11404776340452977,2.0853460419893963,1.9832736670068698,1.9610238750028657
2,2022-02-03,2022-05-03,49966,0.18630668854821278,0.26870690859987884,0.24825335412125818,0.26257602857741275,-0.020453554478620656,-0.00613088002246609,0.014322674456154566,2.0318242920038756,2.0160305829922436,1.9863345000048866
3,2022-05-04,2022-08-01,53719,0.07202293415737449,0.37661102227567017,0.3859164501081848,0.29895756567276793,0.009305427832514646,-0.07765345660290224,-0.08695888443541688,2.120223416000954,2.1154933750076452,2.0603491660003783
4,2022-08-02,2022-10-30,58317,0.30022120479448533,0.420524291795595,0.4011939542338558,0.46361518282242986,-0.019330337561739186,0.04309089102683489,0.062421228588574074,2.2255675420019543,2.2172346669976832,2.153625416001887
5,2022-10-31,2023-01-28,57613,0.30026209362470274,0.2939803554108413,0.29683032606953086,0.294360119028743,0.0028499706586895823,0.0003797636179017072,-0.002470207040787875,2.390059375000419,2.304691208002623,2.2624573329958366
6,2023-01-29,2023-04-28,57361,0.12630532940499642,0.21814575196132616,0.22853391529215075,0.23344058411063964,0.010388163330824596,0.015294832149313486,0.004906668818488891,2.4993377909995615,2.406609292011126,2.3219356249901466
7,2023-04-29,2023-07-27,57651,0.3229952646094604,0.2511904800024137,0.2589209934734496,0.260300888749135,0.007730513471035927,0.00911040874672131,0.0013798952756853833,2.573525667001377,2.5234138329979032,2.4737155420007184
8,2023-07-28,2023-10-25,59700,0.09278056951423785,0.30626274795519226,0.2836301143061608,0.31667786391879055,-0.022632633649031453,0.010415115963598287,0.03304774961262974,2.596698708002805,2.574902583990479,2.506083166997996
9,2023-10-26,2024-01-23,60022,0.33086201726033787,0.33051669406832346,0.3443835498248836,0.42784613972011276,0.013866855756560159,0.0973294456517893,0.08346258989522914,2.8590758339996682,2.845451499990304,2.602085749997059
10,2024-01-24,2024-04-22,58953,0.14370769935372246,0.2542584492543355,0.25806703264828357,0.26866593465503247,0.003808583393948073,0.014407485400696973,0.0105989020067489,2.8835050420020707,2.900372707998031,2.6845257910026703
11,2024-04-23,2024-07-21,59790,0.27705301889948153,0.3441310448127469,0.34930793685662964,0.3501217448107268,0.005176892043882719,0.005990699997979854,0.0008138079540971344,2.950835540992557,2.9434702079888666,2.83952604199294
12,2024-07-22,2024-10-19,60944,0.29152992911525333,0.30485216555616207,0.3004471134641084,0.3014213787019586,-0.004405052092053663,-0.003430786854203449,0.0009742652378502137,3.1125514160085004,3.3489974999974947,2.9862778340029763
13,2024-10-20,2025-01-17,59434,0.2244170003701585,0.3000811243941768,0.29041035054758985,0.34373312893679137,-0.009670773846586933,0.043652004542614586,0.05332277838920152,3.1440331659978256,3.1908562919998076,3.091819499997655
14,2025-01-18,2025-04-17,57318,0.30046407760214944,0.36191118909925846,0.3584262435364893,0.35356522749214925,-0.0034849455627691817,-0.008345961607109209,-0.004861016044340027,3.2914429170050425,3.416734500002349,3.163468416998512
