fold,regime,val_start,val_end,val_rows,buy_rate,ll_baseline,ll_additive,ll_ablationA,delta_additive,delta_ablationA,delta_abl_vs_add,fit_s_baseline,fit_s_additive,fit_s_ablationA,lookup_fit_apply_s,lookup_n_empty_bins
1,shock,2021-11-05,2022-02-02,47823,0.3050415072245572,0.40190510003360563,0.38671869094269096,0.4455297042041349,-0.015186409090914677,0.04362460417052927,0.058811013261443945,2.0577011249997668,1.9441247919994566,1.9638478750002832,0.024279291000311787,0
2,normal,2022-02-03,2022-05-03,49966,0.18630668854821278,0.26870690859987884,0.25910721153555377,0.25626156311186993,-0.009599697064325063,-0.012445345488008908,-0.002845648423683844,2.1253685419997055,2.01102816599996,2.0133810000006633,0.026213499999357737,0
3,normal,2022-05-04,2022-08-01,53719,0.07202293415737449,0.37661102227567017,0.39176334249071976,0.36615370831523647,0.015152320215049586,-0.0104573139604337,-0.025609634175483287,2.1348934999996345,2.110959666999406,2.100464959000419,0.024491916999977548,0
4,shock,2022-08-02,2022-10-30,58317,0.30022120479448533,0.420524291795595,0.4072089944529447,0.39516895597188595,-0.0133152973426503,-0.025355335823709024,-0.012040038481058724,2.267808041000535,2.1995757499998945,2.1594395410002107,0.023938124999403954,0
5,normal,2022-10-31,2023-01-28,57613,0.30026209362470274,0.2939803554108413,0.3081915324964043,0.30177248768321463,0.01421117708556302,0.007792132272373353,-0.006419044813189667,2.310989458000222,2.27508783400026,2.2562402079993262,0.02571749999970052,0
6,normal,2023-01-29,2023-04-28,57361,0.12630532940499642,0.21814575196132616,0.21980066957751815,0.22621464100719876,0.001654917616191992,0.008068889045872607,0.006413971429680615,2.3911372080001456,2.4478171249993466,2.361759749999692,0.02652200000011362,0
7,normal,2023-04-29,2023-07-27,57651,0.3229952646094604,0.2511904800024137,0.25680636198652507,0.2634608117151373,0.005615881984111393,0.012270331712723626,0.006654449728612233,2.523142958999415,2.4578028340001765,2.4778592920001756,0.027924125000026834,0
8,normal,2023-07-28,2023-10-25,59700,0.09278056951423785,0.30626274795519226,0.28282059184825403,0.335756274953433,-0.023442156106938228,0.02949352699824076,0.05293568310517899,2.7610518749997937,2.637175458999991,2.579078292000304,0.028800999999475607,0
9,shock,2023-10-26,2024-01-23,60022,0.33086201726033787,0.33051669406832346,0.3307378767152916,0.3969488243196024,0.00022118264696813217,0.06643213025127892,0.06621094760431079,2.9422533749993818,2.903120208000473,2.765961250000146,0.03476775000035559,0
10,normal,2024-01-24,2024-04-22,58953,0.14370769935372246,0.2542584492543355,0.25330399601713766,0.25817354365203216,-0.0009544532371978387,0.003915094397696661,0.0048695476348945,3.0473887500002093,2.9740403329997207,2.9026172920002864,0.03540204199998698,0
11,normal,2024-04-23,2024-07-21,59790,0.27705301889948153,0.3441310448127469,0.35542191718081656,0.33048858721940527,0.011290872368069638,-0.01364245759334165,-0.024933329961411288,3.217406416999438,3.0570441249992655,2.959315959000378,0.04194495800038567,0
12,normal,2024-07-22,2024-10-19,60944,0.29152992911525333,0.30485216555616207,0.3036734885544651,0.28640094903722363,-0.0011786770016969927,-0.01845121651893844,-0.017272539517241448,3.3797216670000125,3.1101754159999473,3.0597469580006873,0.039083374999790976,0
13,shock,2024-10-20,2025-01-17,59434,0.2244170003701585,0.3000811243941768,0.3001378955995866,0.30408343600776,5.677120540981129e-05,0.00400231161358322,0.003945540408173409,3.4417992910002795,3.2934176250000746,3.297577834000549,0.04106025000055524,0
14,normal,2025-01-18,2025-04-17,57318,0.30046407760214944,0.36191118909925846,0.3601414472174511,0.3670361797151488,-0.0017697418818073407,0.005124990615890335,0.006894732497697675,3.6370451250004407,3.35049699999945,3.33647908400053,0.04212295800061838,0
