fold,feat_a,feat_b,shap_corr,note
1,network_px_std,network_px_std_delta_3d,0.46370081304074623,
1,network_px_std,network_disc_gap,-0.41511249985022997,
1,network_px_std,network_disc_gap_delta_3d,0.32858431785195047,
1,network_px_std,lga_phase_std,-0.03905901854746725,
1,network_px_std,lga_phase_std_delta_3d,0.3955143521034148,
1,network_px_std_delta_3d,network_disc_gap,0.20307272524780523,
1,network_px_std_delta_3d,network_disc_gap_delta_3d,0.4400715660883536,
1,network_px_std_delta_3d,lga_phase_std,0.3944901804628309,
1,network_px_std_delta_3d,lga_phase_std_delta_3d,0.320268216659549,
1,network_disc_gap,network_disc_gap_delta_3d,0.16020409360661514,
1,network_disc_gap,lga_phase_std,0.421734525027146,
1,network_disc_gap,lga_phase_std_delta_3d,0.004025528456084779,
1,network_disc_gap_delta_3d,lga_phase_std,0.4118077749676683,
1,network_disc_gap_delta_3d,lga_phase_std_delta_3d,0.2846427460877291,
1,lga_phase_std,lga_phase_std_delta_3d,0.20671274118354044,
2,network_px_std,network_px_std_delta_3d,0.4510006897740698,
2,network_px_std,network_disc_gap,-0.07473777972084904,
2,network_px_std,network_disc_gap_delta_3d,0.2407774008384912,
2,network_px_std,lga_phase_std,0.0366064182117689,
2,network_px_std,lga_phase_std_delta_3d,0.514803978967323,
2,network_px_std_delta_3d,network_disc_gap,0.03978418252459989,
2,network_px_std_delta_3d,network_disc_gap_delta_3d,0.3029991550579559,
2,network_px_std_delta_3d,lga_phase_std,0.2289613691643521,
2,network_px_std_delta_3d,lga_phase_std_delta_3d,0.3800773908719212,
2,network_disc_gap,network_disc_gap_delta_3d,-0.10076853079235122,
2,network_disc_gap,lga_phase_std,-0.03126717736565673,
2,network_disc_gap,lga_phase_std_delta_3d,-0.18310613400924225,
2,network_disc_gap_delta_3d,lga_phase_std,0.13276233401874926,
2,network_disc_gap_delta_3d,lga_phase_std_delta_3d,0.22200502528760152,
2,lga_phase_std,lga_phase_std_delta_3d,0.09672260084388955,
3,network_px_std,network_px_std_delta_3d,0.3392363459213061,
3,network_px_std,network_disc_gap,-0.29380005107016294,
3,network_px_std,network_disc_gap_delta_3d,0.18233747143995535,
3,network_px_std,lga_phase_std,-0.026700116562677005,
3,network_px_std,lga_phase_std_delta_3d,0.25669991884022225,
3,network_px_std_delta_3d,network_disc_gap,0.31298812781246704,
3,network_px_std_delta_3d,network_disc_gap_delta_3d,0.33208422752070854,
3,network_px_std_delta_3d,lga_phase_std,0.08836919636736386,
3,network_px_std_delta_3d,lga_phase_std_delta_3d,0.35658003682827394,
3,network_disc_gap,network_disc_gap_delta_3d,0.021837244781763715,
3,network_disc_gap,lga_phase_std,0.026906498373522676,
3,network_disc_gap,lga_phase_std_delta_3d,0.030025674744189976,
3,network_disc_gap_delta_3d,lga_phase_std,0.09156333182345164,
3,network_disc_gap_delta_3d,lga_phase_std_delta_3d,0.12168948474982512,
3,lga_phase_std,lga_phase_std_delta_3d,0.03445171105926862,
4,network_px_std,network_px_std_delta_3d,0.19838171155130402,
4,network_px_std,network_disc_gap,0.055161672373606044,
4,network_px_std,network_disc_gap_delta_3d,0.37589625750240074,
4,network_px_std,lga_phase_std,-0.1461280015264417,
4,network_px_std,lga_phase_std_delta_3d,-0.03133904610990963,
4,network_px_std_delta_3d,network_disc_gap,0.3365379512971092,
4,network_px_std_delta_3d,network_disc_gap_delta_3d,0.5604361670117186,
4,network_px_std_delta_3d,lga_phase_std,0.5389797196732937,
4,network_px_std_delta_3d,lga_phase_std_delta_3d,0.30821606790292927,
4,network_disc_gap,network_disc_gap_delta_3d,0.227254456569631,
4,network_disc_gap,lga_phase_std,0.3563604161656122,
