fold,elong_ascent,ext_descent,normal_ascent,normal_descent,ext_minus_normal_descent
1,-0.010048089,-0.013800891,-0.013077126,-0.0024872692,-0.011313622
2,,-0.00016929544,0.0076854564,-0.0027635603,0.002594265
3,-0.5020334,-0.25860023,-0.014385674,-0.058848254,-0.19975197
4,0.027331848,0.034450095,0.0240186,-0.025915137,0.06036523
5,-0.027666856,-0.01589774,-0.009968732,-0.027217014,0.011319274
6,-0.0026075689,-0.0025204667,-0.00026727185,-0.0045036185,0.0019831518
7,0.049027454,0.09909908,0.008661572,0.00407236,0.09502672
8,,-1.0087602,-0.013794292,-0.023108186,-0.985652
9,0.019949054,0.08351386,0.00534021,0.010204067,0.073309794
10,-0.0048438376,0.0020084323,0.0044490327,-0.0037049854,0.0057134177
11,-0.0032543829,-0.0017844784,-0.004983648,-0.0076022814,0.005817803
12,,,-0.0051748473,0.00895577,
13,0.053201824,0.006743184,0.0005437165,0.0027279207,0.004015263
14,-0.0034714758,-0.0007204322,-0.0016449431,0.0025182425,-0.0032386747
