fold,regime,val_start,val_end,elongation
1,shock,2021-11-05,2022-02-02,0.6882312456985548
2,normal,2022-02-03,2022-05-03,0.6072874493927125
3,normal,2022-05-04,2022-08-01,0.4699563611950319
4,shock,2022-08-02,2022-10-30,0.5108556832694764
5,normal,2022-10-31,2023-01-28,0.7340674007340674
6,normal,2023-01-29,2023-04-28,0.5901639344262295
7,normal,2023-04-29,2023-07-27,0.5108556832694764
8,normal,2023-07-28,2023-10-25,0.565859792518076
9,shock,2023-10-26,2024-01-23,0.5340873389883758
10,normal,2024-01-24,2024-04-22,0.3409795412275264
11,normal,2024-04-23,2024-07-21,0.5831798649478208
12,normal,2024-07-22,2024-10-19,0.36297640653357527
13,shock,2024-10-20,2025-01-17,0.48323769254001814
14,normal,2025-01-18,2025-04-17,0.5678421996413628
