fold,regime,val_start,val_end,val_rows,n_lated,run,n_features,seed,ll_all,ll_hard25,ll_hard10,ll_lated,fit_s
1,shock,2021-11-05,2022-02-02,47823,4273,R0,50,42,0.40190510003360563,1.2807329665436873,1.9456492773217113,0.552950242365369,2.2719543330022134
1,shock,2021-11-05,2022-02-02,47823,4273,R0,50,43,0.39679777027672636,1.2542692480737039,1.8873505341192027,0.5564559898051762,2.0492183749884134
1,shock,2021-11-05,2022-02-02,47823,4273,R0,50,44,0.4222007472164518,1.3318810046254286,1.965136253618526,0.5897538252136512,2.013016583994613
1,shock,2021-11-05,2022-02-02,47823,4273,R0,50,45,0.4009560302149539,1.266633065071017,1.8786042895957045,0.5633525396032432,2.035070749989245
1,shock,2021-11-05,2022-02-02,47823,4273,R0,50,46,0.39953749674125766,1.1766078018152717,1.797976941898127,0.5354656793115321,2.00869612499082
1,shock,2021-11-05,2022-02-02,47823,4273,RA_level,51,42,0.3938801289807444,1.2050582057689299,1.7865479325144435,0.5545635885664891,2.034880332998
1,shock,2021-11-05,2022-02-02,47823,4273,RA_level,51,43,0.3993236438681958,1.226191788053605,1.7783396917220426,0.5634703721014727,2.0308659590082243
1,shock,2021-11-05,2022-02-02,47823,4273,RA_level,51,44,0.38949043869260314,1.2165559937270847,1.828054244359243,0.5451879565129373,2.015442541000084
1,shock,2021-11-05,2022-02-02,47823,4273,RA_level,51,45,0.399296318063315,1.2627937815954988,1.8581625642007957,0.5570417793649122,2.2259724169998663
1,shock,2021-11-05,2022-02-02,47823,4273,RA_level,51,46,0.3745532301672679,1.1603775740962738,1.7651178839740673,0.5271502749007274,2.1659269579977263
1,shock,2021-11-05,2022-02-02,47823,4273,RA_delta,51,42,0.38676565369130705,1.1909751827707957,1.7875970802601204,0.577128570460141,2.1613963749987306
1,shock,2021-11-05,2022-02-02,47823,4273,RA_delta,51,43,0.3953806478538454,1.2152362726831587,1.7990778945560897,0.5582737410257311,2.201632750002318
1,shock,2021-11-05,2022-02-02,47823,4273,RA_delta,51,44,0.3806045273730342,1.1853560431178212,1.8074512547460146,0.5668382885917874,2.1521553750062594
1,shock,2021-11-05,2022-02-02,47823,4273,RA_delta,51,45,0.40708061659587685,1.2811985345207921,1.8841676247245307,0.5611887485574658,2.1395851670095
1,shock,2021-11-05,2022-02-02,47823,4273,RA_delta,51,46,0.4031656075142142,1.2688161458560552,1.8923382950872112,0.579726955191177,2.158474750001915
1,shock,2021-11-05,2022-02-02,47823,4273,RA_both,52,42,0.39512899952853564,1.2350863349760686,1.8442513095566344,0.5634703493107268,2.2039224170002853
1,shock,2021-11-05,2022-02-02,47823,4273,RA_both,52,43,0.3931558839117755,1.2388074828039386,1.8617611501219742,0.5581237935050282,2.1568330410082126
1,shock,2021-11-05,2022-02-02,47823,4273,RA_both,52,44,0.40044274872045,1.2828786006743413,1.9779406594288629,0.5686222021880236,2.169184917001985
1,shock,2021-11-05,2022-02-02,47823,4273,RA_both,52,45,0.40669556522914524,1.2887193288941903,2.0333923331198918,0.6337245541797047,2.181963708004332
1,shock,2021-11-05,2022-02-02,47823,4273,RA_both,52,46,0.39342736965081054,1.218970594193548,1.8145941814540762,0.563183556811323,2.1869936249859165
1,shock,2021-11-05,2022-02-02,47823,4273,RAC_full,54,42,0.378415550676239,1.185432992509955,1.7691494801909244,0.540200900613837,2.6175246670027263
1,shock,2021-11-05,2022-02-02,47823,4273,RAC_full,54,43,0.3930442790012449,1.2357553913119164,1.8537868438182337,0.5482377851561616,2.3103288340062136
1,shock,2021-11-05,2022-02-02,47823,4273,RAC_full,54,44,0.394644061460887,1.2439183681926236,1.8919886020477679,0.5604396235784539,2.2548335419996874
