fold,regime,val_start,val_end,val_rows,run,n_features,seed,ll_all,ll_hard25,fit_s
1,shock,2021-11-05,2022-02-02,47823,R0,54,42,0.3944593230980087,1.2810833376070383,2.2417180000047665
1,shock,2021-11-05,2022-02-02,47823,R0,54,43,0.39331041552098706,1.2554782862980078,2.0247192500100937
1,shock,2021-11-05,2022-02-02,47823,R0,54,44,0.3968359377644161,1.2736911996069324,2.100640916993143
1,shock,2021-11-05,2022-02-02,47823,R0,54,45,0.38773526980203593,1.2372809704377725,2.0705735410156194
1,shock,2021-11-05,2022-02-02,47823,R0,54,46,0.39658471707817394,1.2464709345105305,2.0735118750017136
1,shock,2021-11-05,2022-02-02,47823,R1,55,42,0.41042662526748,1.3214726232464493,2.201992375019472
1,shock,2021-11-05,2022-02-02,47823,R1,55,43,0.3882548373032887,1.2418464698477907,2.118524499994237
1,shock,2021-11-05,2022-02-02,47823,R1,55,44,0.39386037319549577,1.250866763548117,2.0875038749945816
1,shock,2021-11-05,2022-02-02,47823,R1,55,45,0.3886275434131543,1.2364992334045648,2.1125669589964673
1,shock,2021-11-05,2022-02-02,47823,R1,55,46,0.40421730667742567,1.2860665514315623,2.149138083012076
1,shock,2021-11-05,2022-02-02,47823,R2,56,42,0.4157158503800176,1.3436388159953914,2.2512583329807967
1,shock,2021-11-05,2022-02-02,47823,R2,56,43,0.4043258819914174,1.2773534310751615,2.241263042000355
1,shock,2021-11-05,2022-02-02,47823,R2,56,44,0.41614941656310844,1.3489444453083153,2.2648967079876456
1,shock,2021-11-05,2022-02-02,47823,R2,56,45,0.40192132732900593,1.298249373975387,2.2341979170159902
1,shock,2021-11-05,2022-02-02,47823,R2,56,46,0.39597381472821824,1.2605105602444788,2.2281544580182526
1,shock,2021-11-05,2022-02-02,47823,R3,55,42,0.39802859860559137,1.2765500158493641,2.1286596249847207
1,shock,2021-11-05,2022-02-02,47823,R3,55,43,0.378968287192115,1.1988793737701622,2.1321447090012953
1,shock,2021-11-05,2022-02-02,47823,R3,55,44,0.3814352263517299,1.2083833527818792,2.137144458014518
1,shock,2021-11-05,2022-02-02,47823,R3,55,45,0.39899749656479466,1.296594162842401,2.108445167017635
1,shock,2021-11-05,2022-02-02,47823,R3,55,46,0.4072883090226762,1.3035408950654563,2.2132194159785286
2,normal,2022-02-03,2022-05-03,49966,R0,54,42,0.24565167645024125,0.8575109878583437,2.2500885000044946
2,normal,2022-02-03,2022-05-03,49966,R0,54,43,0.25723263810415337,0.8345407475757499,2.129765707999468
2,normal,2022-02-03,2022-05-03,49966,R0,54,44,0.23014012863340874,0.7811035472562547,2.128693665988976
2,normal,2022-02-03,2022-05-03,49966,R0,54,45,0.2787728015747573,0.9149353169102312,2.1327833340037614
2,normal,2022-02-03,2022-05-03,49966,R0,54,46,0.26074310295435726,0.8380078851737544,2.2228872919804417
2,normal,2022-02-03,2022-05-03,49966,R1,55,42,0.26192748356167816,0.8788932368630265,2.3472324580070563
2,normal,2022-02-03,2022-05-03,49966,R1,55,43,0.25723263810415337,0.8345407475757499,2.4263377909956034
2,normal,2022-02-03,2022-05-03,49966,R1,55,44,0.25130007257287834,0.8371324842618422,2.2944655420142226
2,normal,2022-02-03,2022-05-03,49966,R1,55,45,0.25690304237380496,0.8664860306477472,2.3471734169870615
2,normal,2022-02-03,2022-05-03,49966,R1,55,46,0.2290548579385748,0.7612202055333789,2.1851073750003707
2,normal,2022-02-03,2022-05-03,49966,R2,56,42,0.2570067459680602,0.8669492015388658,2.4679692089848686
2,normal,2022-02-03,2022-05-03,49966,R2,56,43,0.23574915529105495,0.7935612342104846,2.3368662080029026
2,normal,2022-02-03,2022-05-03,49966,R2,56,44,0.2451182971625775,0.8177300854777129,2.361165209003957
2,normal,2022-02-03,2022-05-03,49966,R2,56,45,0.25529531327298705,0.85279500512963,2.333521666994784
2,normal,2022-02-03,2022-05-03,49966,R2,56,46,0.2607369031980043,0.8614688187053465,2.329104709002422
2,normal,2022-02-03,2022-05-03,49966,R3,55,42,0.3001836619833842,0.962754410554729,2.3229734170017764
2,normal,2022-02-03,2022-05-03,49966,R3,55,43,0.23203551038289025,0.7637485998410373,2.440219541982515
2,normal,2022-02-03,2022-05-03,49966,R3,55,44,0.24597614725919656,0.8191923286026722,2.3113530419941526
2,normal,2022-02-03,2022-05-03,49966,R3,55,45,0.2784237208175183,0.9402173932346016,2.6270250000234228
2,normal,2022-02-03,2022-05-03,49966,R3,55,46,0.24620745157953255,0.8116024946992826,2.2865869579836726
