fold,regime,run,ll_all_mean,ll_all_median,ll_all_seedstd,ll_hard25_mean,ll_hard25_median,ll_hard25_seedstd,ll_all_mean_base,ll_hard25_mean_base,ll_all_median_base,ll_hard25_median_base,delta_ll_all_mean,delta_ll_all_median,delta_ll_hard25_mean,delta_ll_hard25_median
1,shock,R0,0.38112239267754233,0.37918236978900777,0.00963148666299245,1.240449684188812,1.2405017551391235,0.04633296564806344,0.38112239267754233,1.240449684188812,0.37918236978900777,1.2405017551391235,0.0,0.0,0.0,0.0
1,shock,R1,0.4016321025815592,0.39682256726534026,0.011828844136430188,1.2964750095595026,1.2889207945708976,0.04731510265881078,0.38112239267754233,1.240449684188812,0.37918236978900777,1.2405017551391235,0.02050970990401685,0.017640197476332498,0.056025325370690604,0.04841903943177406
1,shock,R2,0.3847505719595671,0.3798475471730408,0.012001089721315585,1.2417395637338349,1.2405017551391235,0.056775566882680234,0.38112239267754233,1.240449684188812,0.37918236978900777,1.2405017551391235,0.003628179282024746,0.0006651773840330444,0.0012898795450229095,0.0
2,normal,R0,0.24628463464774497,0.23333705437354904,0.042511277084920404,0.8140088553753936,0.7778194098698966,0.12642236000879245,0.24628463464774497,0.8140088553753936,0.23333705437354904,0.7778194098698966,0.0,0.0,0.0,0.0
2,normal,R1,0.2461009383884945,0.21867518253027365,0.060590870602163865,0.7886506866529903,0.7130257940647908,0.15832127160315532,0.24628463464774497,0.8140088553753936,0.23333705437354904,0.7778194098698966,-0.0001836962592504654,-0.014661871843275387,-0.025358168722403263,-0.06479361580510579
2,normal,R2,0.2571129198918271,0.21513185077327804,0.09862041645051733,0.8177939493228296,0.7028642850985134,0.2653081290708934,0.24628463464774497,0.8140088553753936,0.23333705437354904,0.7778194098698966,0.010828285244082136,-0.018205203600271003,0.00378509394743598,-0.07495512477138322
3,normal,R0,0.3688753605470988,0.3731435798289138,0.02148752292080005,1.2529447727644343,1.2464142088930332,0.042676551187317655,0.3688753605470988,1.2529447727644343,0.3731435798289138,1.2464142088930332,0.0,0.0,0.0,0.0
3,normal,R1,0.36904368118502945,0.37640713371009277,0.012234829527687228,1.3078381863587307,1.3091178673844217,0.04959881162912926,0.3688753605470988,1.2529447727644343,0.3731435798289138,1.2464142088930332,0.00016832063793065233,0.0032635538811789933,0.05489341359429645,0.06270365849138848
3,normal,R2,0.35764510307827935,0.358395763804866,0.03242492176822301,1.257336392611246,1.2398427228493616,0.11094202116506968,0.3688753605470988,1.2529447727644343,0.3731435798289138,1.2464142088930332,-0.011230257468819449,-0.014747816024047788,0.00439161984681169,-0.006571486043671637
4,shock,R0,0.4471118656926988,0.43646647918378106,0.03378725014386593,1.2374131633097898,1.2038273358993987,0.06477028100789695,0.4471118656926988,1.2374131633097898,0.43646647918378106,1.2038273358993987,0.0,0.0,0.0,0.0
4,shock,R1,0.49819209049522917,0.43675625198928325,0.154519120647284,1.45507984006626,1.2770290794775403,0.43456906658516853,0.4471118656926988,1.2374131633097898,0.43646647918378106,1.2038273358993987,0.05108022480253038,0.0002897728055021864,0.2176666767564701,0.07320174357814158
4,shock,R2,0.45141161220631565,0.45561139421838404,0.03416390786905062,1.2495631935798852,1.2479277924408856,0.05492853968745997,0.4471118656926988,1.2374131633097898,0.43646647918378106,1.2038273358993987,0.0042997465136168644,0.01914491503460297,0.012150030270095424,0.044100456541486865
5,normal,R0,0.2687926087523512,0.2693615891079595,0.00175401985542948,0.8800274175691449,0.8790195073781703,0.0057831280428737655,0.2687926087523512,0.8800274175691449,0.2693615891079595,0.8790195073781703,0.0,0.0,0.0,0.0
5,normal,R1,0.26746137068261716,0.2617987258827414,0.012008856940116172,0.8582513718869276,0.863542776078302,0.02363129845424933,0.2687926087523512,0.8800274175691449,0.2693615891079595,0.8790195073781703,-0.0013312380697340642,-0.007562863225218097,-0.02177604568221736,-0.015476731299868263
5,normal,R2,0.2687926087523512,0.2693615891079595,0.00175401985542948,0.8800274175691449,0.8790195073781703,0.0057831280428737655,0.2687926087523512,0.8800274175691449,0.2693615891079595,0.8790195073781703,0.0,0.0,0.0,0.0
6,normal,R0,0.21590728875119275,0.21902773344642792,0.005769946505597164,0.7720116018808956,0.7817451929818079,0.025273110829557306,0.21590728875119275,0.7720116018808956,0.21902773344642792,0.7817451929818079,0.0,0.0,0.0,0.0
