fold,regime,val_start,val_end,val_rows,run,n_features,seed,ll_all,ll_hard25,fit_s
1,shock,2021-11-05,2022-02-02,47823,R0,54,42,0.381938206002163,1.2497444108017195,2.2966972500435077
1,shock,2021-11-05,2022-02-02,47823,R0,54,43,0.3734322792256395,1.1911367126744734,2.1724512500222772
1,shock,2021-11-05,2022-02-02,47823,R0,54,44,0.37393971140929066,1.2090997239186336,2.2881977920187637
1,shock,2021-11-05,2022-02-02,47823,R0,54,45,0.3971193969616109,1.3117658184101102,2.14449712500209
1,shock,2021-11-05,2022-02-02,47823,R0,54,46,0.37918236978900777,1.2405017551391235,2.139556333015207
1,shock,2021-11-05,2022-02-02,47823,R1,54,42,0.40425806416095295,1.3161724927045324,2.184295375016518
1,shock,2021-11-05,2022-02-02,47823,R1,54,43,0.3958658638133561,1.2889207945708976,2.2164391249534674
1,shock,2021-11-05,2022-02-02,47823,R1,54,44,0.42085183814234933,1.3674736769633475,2.267069666995667
1,shock,2021-11-05,2022-02-02,47823,R1,54,45,0.39036217952579716,1.2523824099033178,2.164001124969218
1,shock,2021-11-05,2022-02-02,47823,R1,54,46,0.39682256726534026,1.257425673655418,2.1682938329759054
1,shock,2021-11-05,2022-02-02,47823,R2,55,42,0.37026900124342793,1.1644782197269852,2.2558329589664936
1,shock,2021-11-05,2022-02-02,47823,R2,55,43,0.3798475471730408,1.2144844170880924,2.1976329589961097
1,shock,2021-11-05,2022-02-02,47823,R2,55,44,0.3973345446307481,1.277467608304863,2.2570890829665586
1,shock,2021-11-05,2022-02-02,47823,R2,55,45,0.3971193969616109,1.3117658184101102,2.1699011669843458
1,shock,2021-11-05,2022-02-02,47823,R2,55,46,0.37918236978900777,1.2405017551391235,2.210199791996274
2,normal,2022-02-03,2022-05-03,49966,R0,54,42,0.23622775948973196,0.8314243567901838,2.3346904999925755
2,normal,2022-02-03,2022-05-03,49966,R0,54,43,0.23333705437354904,0.7778194098698966,2.3487994159804657
2,normal,2022-02-03,2022-05-03,49966,R0,54,44,0.32072510147429856,1.021012816436641,2.3057383749983273
