fold,regime,run,ll_all_mean,ll_all_median,ll_all_seedstd,ll_hard25_mean,ll_hard25_median,ll_hard25_seedstd,ll_all_mean_base,ll_hard25_mean_base,ll_all_median_base,ll_hard25_median_base,delta_ll_all_mean,delta_ll_all_median,delta_ll_hard25_mean,delta_ll_hard25_median
1,shock,R0,0.38112239267754233,0.37918236978900777,0.00963148666299245,1.240449684188812,1.2405017551391235,0.04633296564806344,0.38112239267754233,1.240449684188812,0.37918236978900777,1.2405017551391235,0.0,0.0,0.0,0.0
1,shock,R1,0.40554131803078064,0.40014467469991816,0.030464158421081314,1.2710431747909623,1.2753719707777658,0.0767793660369187,0.38112239267754233,1.240449684188812,0.37918236978900777,1.2405017551391235,0.024418925353238308,0.02096230491091039,0.03059349060215033,0.03487021563864223
1,shock,R2,0.3704407704621656,0.3644036711353566,0.01307528718486071,1.1790386146692413,1.166982791832221,0.04477842925325931,0.38112239267754233,1.240449684188812,0.37918236978900777,1.2405017551391235,-0.010681622215376718,-0.014778698653651168,-0.06141106951957065,-0.07351896330690244
1,shock,R3,0.39384994244406135,0.3960928327388144,0.010963408844883709,1.282809416051964,1.3033745007254223,0.051872068334570594,0.38112239267754233,1.240449684188812,0.37918236978900777,1.2405017551391235,0.01272754976651902,0.016910462949806637,0.04235973186315212,0.06287274558629874
1,shock,R4,0.3852412760365391,0.37719349099876165,0.012120392659812232,1.2435622218850173,1.2231078574766254,0.0408588613403547,0.38112239267754233,1.240449684188812,0.37918236978900777,1.2405017551391235,0.004118883358996794,-0.001988878790246118,0.003112537696205342,-0.017393897662498103
2,normal,R0,0.24628463464774497,0.23333705437354904,0.042511277084920404,0.8140088553753936,0.7778194098698966,0.12642236000879245,0.24628463464774497,0.8140088553753936,0.23333705437354904,0.7778194098698966,0.0,0.0,0.0,0.0
2,normal,R1,0.2229109876965162,0.2145945413294001,0.019505873825404394,0.7025635720436715,0.6949308293194839,0.04761158741929989,0.24628463464774497,0.8140088553753936,0.23333705437354904,0.7778194098698966,-0.02337364695122876,-0.01874251304414895,-0.1114452833317221,-0.0828885805504127
2,normal,R2,0.2274432270395313,0.2241575273720677,0.013589798298834879,0.7087353621184074,0.709939848940856,0.00718995625393394,0.24628463464774497,0.8140088553753936,0.23333705437354904,0.7778194098698966,-0.01884140760821368,-0.009179527001481336,-0.1052734932569862,-0.06787956092904057
2,normal,R3,0.22521539604579854,0.21815541444521258,0.021141275372386317,0.7143784217384914,0.6841293216363953,0.0657909928975397,0.24628463464774497,0.8140088553753936,0.23333705437354904,0.7778194098698966,-0.021069238601946427,-0.01518163992833646,-0.09963043363690216,-0.09369008823350133
2,normal,R4,0.23374239179026465,0.21076162892105987,0.036213193504780125,0.7500535160058789,0.6853466171646447,0.10561121976524049,0.24628463464774497,0.8140088553753936,0.23333705437354904,0.7778194098698966,-0.012542242857480318,-0.022575425452489167,-0.0639553393695147,-0.09247279270525188
