fold,regime,run,ll_all_mean,ll_all_median,ll_all_seedstd,ll_hard25_mean,ll_hard25_median,ll_hard25_seedstd,ll_all_mean_base,ll_hard25_mean_base,ll_all_median_base,ll_hard25_median_base,delta_ll_all_mean,delta_ll_all_median,delta_ll_hard25_mean,delta_ll_hard25_median
1,shock,R0,0.38112239267754233,0.37918236978900777,0.00963148666299245,1.240449684188812,1.2405017551391235,0.04633296564806344,0.38112239267754233,1.240449684188812,0.37918236978900777,1.2405017551391235,0.0,0.0,0.0,0.0
1,shock,vel14,0.3656392013172322,0.36539453568771096,0.008566790961261773,1.163319263030418,1.1514810299834066,0.034958010817023245,0.38112239267754233,1.240449684188812,0.37918236978900777,1.2405017551391235,-0.015483191360310122,-0.013787834101296803,-0.07713042115839386,-0.0890207251557169
1,shock,vel3,0.3660138139312466,0.3663979286874261,0.005957878786462684,1.1607385861162987,1.1580761458931417,0.03592107139163758,0.38112239267754233,1.240449684188812,0.37918236978900777,1.2405017551391235,-0.015108578746295731,-0.012784441101581667,-0.07971109807251331,-0.08242560924598186
1,shock,vel7,0.3704407704621656,0.3644036711353566,0.01307528718486071,1.1790386146692413,1.166982791832221,0.04477842925325931,0.38112239267754233,1.240449684188812,0.37918236978900777,1.2405017551391235,-0.010681622215376718,-0.014778698653651168,-0.06141106951957065,-0.07351896330690244
2,normal,R0,0.24628463464774497,0.23333705437354904,0.042511277084920404,0.8140088553753936,0.7778194098698966,0.12642236000879245,0.24628463464774497,0.8140088553753936,0.23333705437354904,0.7778194098698966,0.0,0.0,0.0,0.0
2,normal,vel14,0.23596666153394094,0.23835539543461068,0.01912993623502019,0.7395248235160402,0.6993273569267492,0.06430090570799148,0.24628463464774497,0.8140088553753936,0.23333705437354904,0.7778194098698966,-0.01031797311380403,0.0050183410610616375,-0.07448403185935337,-0.07849205294314743
2,normal,vel3,0.22539593720903187,0.2185498198751481,0.018908930925832373,0.7329703317039427,0.7110341072945339,0.052791805919892854,0.24628463464774497,0.8140088553753936,0.23333705437354904,0.7778194098698966,-0.020888697438713105,-0.014787234498400942,-0.08103852367145092,-0.06678530257536275
2,normal,vel7,0.2274432270395313,0.2241575273720677,0.013589798298834879,0.7087353621184074,0.709939848940856,0.00718995625393394,0.24628463464774497,0.8140088553753936,0.23333705437354904,0.7778194098698966,-0.01884140760821368,-0.009179527001481336,-0.1052734932569862,-0.06787956092904057
3,normal,R0,0.3688753605470988,0.3731435798289138,0.02148752292080005,1.2529447727644343,1.2464142088930332,0.042676551187317655,0.3688753605470988,1.2529447727644343,0.3731435798289138,1.2464142088930332,0.0,0.0,0.0,0.0
3,normal,vel14,0.36866125628443636,0.37392427700215525,0.01949708232615302,1.274038463803565,1.2743825037000727,0.031523619578841124,0.3688753605470988,1.2529447727644343,0.3731435798289138,1.2464142088930332,-0.0002141042626624401,0.0007806971732414736,0.021093691039130613,0.02796829480703944
3,normal,vel3,0.46713937418245266,0.3345669886408512,0.28632871283434613,1.2864554153983938,1.1916236254428523,0.1866648348670143,0.3688753605470988,1.2529447727644343,0.3731435798289138,1.2464142088930332,0.09826401363535386,-0.03857659118806256,0.03351064263395953,-0.05479058345018095
3,normal,vel7,0.3465625320168582,0.32891997668491146,0.05645733369765616,1.1783567274380065,1.1489811566836816,0.15774878540067894,0.3688753605470988,1.2529447727644343,0.3731435798289138,1.2464142088930332,-0.02231282853024058,-0.04422360314400231,-0.07458804532642782,-0.09743305220935161
4,shock,R0,0.4471118656926988,0.43646647918378106,0.03378725014386593,1.2374131633097898,1.2038273358993987,0.06477028100789695,0.4471118656926988,1.2374131633097898,0.43646647918378106,1.2038273358993987,0.0,0.0,0.0,0.0
4,shock,vel14,0.47075519845004904,0.45882113200599967,0.031667439429090255,1.2759889892180962,1.25316259219249,0.08414838880507225,0.4471118656926988,1.2374131633097898,0.43646647918378106,1.2038273358993987,0.023643332757350255,0.0223546528222186,0.03857582590830644,0.04933525629309132
4,shock,vel3,0.41998032706819705,0.4209832344161897,0.016299790225714254,1.1497820169614505,1.1469759272025186,0.05489532210218729,0.4471118656926988,1.2374131633097898,0.43646647918378106,1.2038273358993987,-0.02713153862450174,-0.015483244767591386,-0.08763114634833924,-0.0568514086968801
4,shock,vel7,0.4283080220609487,0.426707442173289,0.006511455294419714,1.1636631253659186,1.1573042375378175,0.023502394783864684,0.4471118656926988,1.2374131633097898,0.43646647918378106,1.2038273358993987,-0.018803843631750083,-0.009759037010492078,-0.07375003794387114,-0.046523098361581194
5,normal,R0,0.2687926087523512,0.2693615891079595,0.00175401985542948,0.8800274175691449,0.8790195073781703,0.0057831280428737655,0.2687926087523512,0.8800274175691449,0.2693615891079595,0.8790195073781703,0.0,0.0,0.0,0.0
5,normal,vel14,0.26406281898316625,0.26554670415145143,0.006800219724700984,0.8663110534549141,0.8844993190779766,0.0262944772369134,0.2687926087523512,0.8800274175691449,0.2693615891079595,0.8790195073781703,-0.004729789769184978,-0.003814884956508058,-0.013716364114230828,0.005479811699806381
5,normal,vel3,0.25922327606553736,0.2565928435426537,0.00651898177577697,0.8491691459320808,0.8427887620334836,0.023927326388708578,0.2687926087523512,0.8800274175691449,0.2693615891079595,0.8790195073781703,-0.00956933268681387,-0.012768745565305772,-0.030858271637064116,-0.03623074534468662
5,normal,vel7,0.25984572774233594,0.25899348821585233,0.0032376651755595186,0.8563359421845508,0.8562257991090333,0.016069057515369665,0.2687926087523512,0.8800274175691449,0.2693615891079595,0.8790195073781703,-0.008946881010015284,-0.010368100892107157,-0.02369147538459415,-0.02279370826913696
6,normal,R0,0.21590728875119275,0.21902773344642792,0.005769946505597164,0.7720116018808956,0.7817451929818079,0.025273110829557306,0.21590728875119275,0.7720116018808956,0.21902773344642792,0.7817451929818079,0.0,0.0,0.0,0.0
6,normal,vel14,0.2127040190965248,0.2135910707396515,0.003125963126336925,0.7559320158585005,0.7555429426278405,0.012162346358597564,0.21590728875119275,0.7720116018808956,0.21902773344642792,0.7817451929818079,-0.0032032696546679396,-0.005436662706776424,-0.01607958602239512,-0.026202250353967393
6,normal,vel3,0.21340645055161578,0.21458687515727545,0.002784506977086884,0.762451920767542,0.7673078040578908,0.007893715243895776,0.21590728875119275,0.7720116018808956,0.21902773344642792,0.7817451929818079,-0.0025008381995769713,-0.004440858289152472,-0.00955968111335359,-0.014437388923917105
