cadence,fold,own_tau,val_start,val_end,model_cpl,always_cpl,oracle_cpl
7,1,0.25,2021-11-05,2022-02-02,168.56166666666667,172.91692307692307,168.22666666666666
7,2,0.25,2022-02-03,2022-05-03,176.84032258064516,179.87692307692308,175.71803278688526
7,3,0.25,2022-05-04,2022-08-01,197.9323076923077,199.6,194.6030769230769
7,4,0.25,2022-08-02,2022-10-30,173.05357142857142,177.11929824561403,171.89056603773585
7,5,0.25,2022-10-31,2023-01-28,187.35961538461538,192.6846153846154,186.9269230769231
7,6,0.25,2023-01-29,2023-04-28,191.0857142857143,195.14423076923077,190.95192307692307
7,7,0.25,2023-04-29,2023-07-27,181.37755102040816,185.8925925925926,179.84
7,8,0.25,2023-07-28,2023-10-25,204.57666666666665,204.03230769230768,199.25692307692307
7,9,0.25,2023-10-26,2024-01-23,200.4344262295082,204.41692307692307,198.57076923076923
7,10,0.25,2024-01-24,2024-04-22,207.37666666666667,211.57384615384615,204.40333333333334
7,11,0.25,2024-04-23,2024-07-21,204.87333333333333,210.33692307692309,203.12666666666667
7,12,0.25,2024-07-22,2024-10-19,184.86333333333334,191.5523076923077,182.87142857142857
7,13,0.25,2024-10-20,2025-01-17,189.03230769230768,191.58923076923077,187.2904761904762
7,14,0.25,2025-01-18,2025-04-17,190.20625,195.50307692307692,189.66875
3,1,0.25,2021-11-05,2022-02-02,167.4166666666666,172.3951063829786,166.347754243379
3,2,0.25,2022-02-03,2022-05-03,176.59730941704026,179.3008510638297,174.29002327307964
3,3,0.25,2022-05-04,2022-08-01,195.86808510638295,198.65638297872331,191.65361716209796
3,4,0.25,2022-08-02,2022-10-30,171.49699999999996,175.51414634146332,167.7398908558497
3,5,0.25,2022-10-31,2023-01-28,186.88430851063828,192.27792553191478,185.15691498259528
3,6,0.25,2023-01-29,2023-04-28,189.7928977272727,194.64388297872335,189.2406916343574
3,7,0.25,2023-04-29,2023-07-27,180.13417366946777,184.97764127764117,177.4116668236404
3,8,0.25,2023-07-28,2023-10-25,200.17847533632283,203.30297872340418,197.3621277894113
3,9,0.25,2023-10-26,2024-01-23,197.28358531317488,204.12085106382966,196.17914905881247
3,10,0.25,2024-01-24,2024-04-22,204.49570405727917,211.26638297872339,201.19951234204115
3,11,0.25,2024-04-23,2024-07-21,203.0322033898305,210.2289361702127,200.48789357182082
3,12,0.25,2024-07-22,2024-10-19,184.65214446952587,191.6182978723403,180.27914906846357
3,13,0.25,2024-10-20,2025-01-17,188.48085106382976,191.45361702127653,185.63698043441784
3,14,0.25,2025-01-18,2025-04-17,188.53191489361697,194.9693617021276,187.5221277934624
2,1,0.25,2021-11-05,2022-02-02,167.4651658767773,172.80673684210524,165.93452377275716
2,2,0.25,2022-02-03,2022-05-03,176.54030501089312,179.758947368421,173.9128440069468
2,3,0.25,2022-05-04,2022-08-01,195.3025263157894,198.32021052631578,190.6945262338018
2,4,0.25,2022-08-02,2022-10-30,171.53718592964816,176.08939759036141,167.3687499284117
2,5,0.25,2022-10-31,2023-01-28,186.63842105263154,192.00315789473677,184.27263152792457
2,6,0.25,2023-01-29,2023-04-28,189.8752777777778,194.715,188.60763149762562
2,7,0.25,2023-04-29,2023-07-27,180.22691218130313,185.111,176.8111110259358
2,8,0.25,2023-07-28,2023-10-25,201.2929978118162,203.67684210526315,197.15810517901335
2,9,0.25,2023-10-26,2024-01-23,196.31052631578945,204.0402105263158,195.29705255064857
2,10,0.25,2024-01-24,2024-04-22,203.73449883449885,210.91347368421052,200.30096144315257
2,11,0.25,2024-04-23,2024-07-21,203.56919431279624,210.24610526315783,200.0601917886424
2,12,0.25,2024-07-22,2024-10-19,184.13228699551573,191.569894736842,178.9909473085144
2,13,0.25,2024-10-20,2025-01-17,187.5298947368421,190.94294736842104,184.19698269182263
2,14,0.25,2025-01-18,2025-04-17,187.78997867803838,194.83389473684213,185.9955223166336
1,1,0.25,2021-11-05,2022-02-02,167.42343387471013,172.80833333333374,165.6548466417115
1,2,0.25,2022-02-03,2022-05-03,176.6747300215985,179.69937500000054,173.62896571641747
1,3,0.25,2022-05-04,2022-08-01,195.01125000000016,198.2568750000005,190.10000050609986
1,4,0.25,2022-08-02,2022-10-30,172.13243243243264,176.28023809523853,167.0313893339884
1,5,0.25,2022-10-31,2023-01-28,186.97708333333352,192.29296875000045,184.22864613852138
1,6,0.25,2023-01-29,2023-04-28,189.3272237196767,194.4955729166672,188.13515672477627
1,7,0.25,2023-04-29,2023-07-27,179.45495978552287,184.4284009546544,175.92732294632438
1,8,0.25,2023-07-28,2023-10-25,199.6966173361522,203.61833333333385,196.59288760334326
1,9,0.25,2023-10-26,2024-01-23,196.06617954070984,204.07500000000036,194.85407146621932
1,10,0.25,2024-01-24,2024-04-22,203.90272727272728,211.14916666666736,200.1857148835999
1,11,0.25,2024-04-23,2024-07-21,203.0813953488373,210.43500000000066,199.5460811564121
1,12,0.25,2024-07-22,2024-10-19,183.87835497835508,191.71416666666727,178.71916716978424
1,13,0.25,2024-10-20,2025-01-17,187.06791666666675,190.89458333333386,183.73504315242243
1,14,0.25,2025-01-18,2025-04-17,187.9930817610064,194.8337500000007,185.5398327116295
