cadence,fold,val_start,val_end,oracle_cpl,always_cpl,oracle_litres,always_litres
7,1,2021-11-05,2022-02-02,168.22666666666666,172.91692307692307,1500.0,1625.0
7,2,2022-02-03,2022-05-03,175.71803278688526,179.87692307692308,1525.0,1625.0
7,3,2022-05-04,2022-08-01,194.6030769230769,199.6,1625.0,1625.0
7,4,2022-08-02,2022-10-30,171.89056603773585,177.11929824561403,1325.0,1425.0
7,5,2022-10-31,2023-01-28,186.9269230769231,192.6846153846154,1300.0,1300.0
7,6,2023-01-29,2023-04-28,190.95192307692307,195.14423076923077,1300.0,1300.0
7,7,2023-04-29,2023-07-27,179.84,185.8925925925926,1250.0,1350.0
7,8,2023-07-28,2023-10-25,199.25692307692307,204.03230769230768,1625.0,1625.0
7,9,2023-10-26,2024-01-23,198.57076923076923,204.41692307692307,1625.0,1625.0
7,10,2024-01-24,2024-04-22,204.40333333333334,211.57384615384615,1500.0,1625.0
7,11,2024-04-23,2024-07-21,203.12666666666667,210.33692307692309,1500.0,1625.0
7,12,2024-07-22,2024-10-19,182.87142857142857,191.5523076923077,1575.0,1625.0
7,13,2024-10-20,2025-01-17,187.2904761904762,191.58923076923077,1575.0,1625.0
7,14,2025-01-18,2025-04-17,189.66875,195.50307692307692,1600.0,1625.0
3,1,2021-11-05,2022-02-02,166.347754243379,172.3951063829786,1510.7143260000003,1678.5714285714294
3,2,2022-02-03,2022-05-03,174.29002327307964,179.3008510638297,1539.2857520000002,1678.5714285714294
3,3,2022-05-04,2022-08-01,191.65361716209796,198.65638297872331,1678.5714699999999,1678.5714285714294
3,4,2022-08-02,2022-10-30,167.7398908558497,175.51414634146332,1307.14289,1464.2857142857151
3,5,2022-10-31,2023-01-28,185.15691498259528,192.27792553191478,1342.857176,1342.8571428571436
3,6,2023-01-29,2023-04-28,189.2406916343574,194.64388297872335,1342.857176,1342.8571428571436
3,7,2023-04-29,2023-07-27,177.4116668236404,184.97764127764117,1285.7143179999998,1453.5714285714294
3,8,2023-07-28,2023-10-25,197.3621277894113,203.30297872340418,1678.5714700000003,1678.5714285714294
3,9,2023-10-26,2024-01-23,196.17914905881247,204.12085106382966,1678.5714699999999,1678.5714285714294
3,10,2024-01-24,2024-04-22,201.19951234204115,211.26638297872339,1464.2857500000002,1678.5714285714294
3,11,2024-04-23,2024-07-21,200.48789357182082,210.2289361702127,1475.0000360000004,1678.5714285714294
3,12,2024-07-22,2024-10-19,180.27914906846357,191.6182978723403,1678.5714699999999,1678.5714285714294
3,13,2024-10-20,2025-01-17,185.63698043441784,191.45361702127653,1632.142898,1678.5714285714294
3,14,2025-01-18,2025-04-17,187.5221277934624,194.9693617021276,1678.5714699999999,1678.5714285714294
2,1,2021-11-05,2022-02-02,165.93452377275716,172.80673684210524,1499.9999699999994,1696.4285714285722
2,2,2022-02-03,2022-05-03,173.9128440069468,179.758947368421,1557.1428279999996,1696.4285714285725
2,3,2022-05-04,2022-08-01,190.6945262338018,198.32021052631578,1696.4285399999994,1696.4285714285725
2,4,2022-08-02,2022-10-30,167.3687499284117,176.08939759036141,1314.2856899999997,1482.142857142858
2,5,2022-10-31,2023-01-28,184.27263152792457,192.00315789473677,1357.1428319999998,1357.142857142858
2,6,2023-01-29,2023-04-28,188.60763149762562,194.715,1357.1428319999995,1357.142857142858
2,7,2023-04-29,2023-07-27,176.8111110259358,185.111,1285.714261,1428.5714285714294
2,8,2023-07-28,2023-10-25,197.15810517901335,203.67684210526315,1696.4285399999997,1696.4285714285725
2,9,2023-10-26,2024-01-23,195.29705255064857,204.0402105263158,1696.4285399999997,1696.4285714285725
2,10,2024-01-24,2024-04-22,200.30096144315257,210.91347368421052,1485.714258,1696.4285714285725
2,11,2024-04-23,2024-07-21,200.0601917886424,210.24610526315783,1489.2856869999996,1696.4285714285725
2,12,2024-07-22,2024-10-19,178.9909473085144,191.569894736842,1696.4285399999999,1696.4285714285725
2,13,2024-10-20,2025-01-17,184.19698269182263,190.94294736842104,1657.1428259999998,1696.4285714285725
2,14,2025-01-18,2025-04-17,185.9955223166336,194.83389473684213,1674.9999689999995,1696.4285714285725
1,1,2021-11-05,2022-02-02,165.6548466417115,172.80833333333374,1510.714467,1714.285714285709
1,2,2022-02-03,2022-05-03,173.62896571641747,179.69937500000054,1553.5716,1714.285714285709
1,3,2022-05-04,2022-08-01,190.10000050609986,198.2568750000005,1714.2859050000002,1714.285714285709
1,4,2022-08-02,2022-10-30,167.0313893339884,176.28023809523853,1285.714425,1499.9999999999957
1,5,2022-10-31,2023-01-28,184.22864613852138,192.29296875000045,1371.4287240000003,1371.4285714285672
1,6,2023-01-29,2023-04-28,188.13515672477627,194.4955729166672,1371.428724,1371.4285714285672
1,7,2023-04-29,2023-07-27,175.92732294632438,184.4284009546544,1307.1429990000001,1496.4285714285672
1,8,2023-07-28,2023-10-25,196.59288760334326,203.61833333333385,1707.1430470000003,1714.285714285709
1,9,2023-10-26,2024-01-23,194.85407146621932,204.07500000000036,1710.7144759999999,1714.285714285709
1,10,2024-01-24,2024-04-22,200.1857148835999,211.14916666666736,1500.0001680000003,1714.285714285709
1,11,2024-04-23,2024-07-21,199.5460811564121,210.43500000000066,1503.5715940000002,1714.285714285709
1,12,2024-07-22,2024-10-19,178.71916716978424,191.71416666666727,1714.2859050000004,1714.285714285709
1,13,2024-10-20,2025-01-17,183.73504315242243,190.89458333333386,1671.4287600000002,1714.285714285709
1,14,2025-01-18,2025-04-17,185.5398327116295,194.8337500000007,1703.5716180000002,1714.285714285709
