axis,cost,label,zone,headroom_cpl
regime,fifo,start,late_descent,2.6480519480519433
regime,fifo,start,normal,1.2125748502993758
regime,fifo,start,overdue,1.5526595744680947
volatility,fifo,start,12-16c,3.172727272727286
volatility,fifo,start,8-12c,0.9392857142857167
volatility,fifo,start,<8c,1.1274999999999977
volatility,fifo,start,>=16c,3.4634146341463463
regime,fifo,mid,late_descent,3.2419087136929647
regime,fifo,mid,normal,0.8072674418604606
regime,fifo,mid,overdue,1.4857142857142946
volatility,fifo,mid,12-16c,0.5280701754386143
volatility,fifo,mid,8-12c,1.3745173745173531
volatility,fifo,mid,<8c,1.037647058823552
volatility,fifo,mid,>=16c,5.022400000000005
regime,fifo,end,late_descent,1.3763265306122605
regime,fifo,end,normal,1.6323442136498443
regime,fifo,end,overdue,2.4637426900584956
volatility,fifo,end,12-16c,2.2539999999999907
volatility,fifo,end,8-12c,1.831879194630858
volatility,fifo,end,<8c,0.962857142857132
volatility,fifo,end,>=16c,2.740000000000009
regime,average,start,late_descent,1.4940476190476204
regime,average,start,normal,2.102395209580834
regime,average,start,overdue,1.2069148936170393
volatility,average,start,12-16c,3.9729545454545416
volatility,average,start,8-12c,1.6866071428571558
volatility,average,start,<8c,1.0669791666666697
volatility,average,start,>=16c,0.8851626016260354
regime,average,mid,late_descent,1.9725103734439813
regime,average,mid,normal,2.5598837209302303
regime,average,mid,overdue,-0.4866071428571388
volatility,average,mid,12-16c,2.039144736842104
volatility,average,mid,8-12c,2.700289575289588
volatility,average,mid,<8c,1.0568627450980443
volatility,average,mid,>=16c,0.5831000000000017
regime,average,end,late_descent,0.6160204081632799
regime,average,end,normal,3.342099406528206
regime,average,end,overdue,-0.01747076023391969
volatility,average,end,12-16c,2.5773750000000177
volatility,average,end,8-12c,2.5839345637583904
volatility,average,end,<8c,1.0542857142857258
volatility,average,end,>=16c,-0.10750000000001592
