purchased_litres,purchased_spend,attributed_litres,attributed_spend,leftover_litres,leftover_spend,prior_burned,burned_total,fold,station_code,arm
300.0,48582.5,275.0,44385.0,25.0,4197.5,25.0,300.0,1,261,model
300.0,52795.0,275.0,48222.5,25.0,4572.5,0.0,275.0,1,414,model
300.0,50030.0,275.0,45787.5,25.0,4242.5,0.0,275.0,1,429,model
300.0,48890.0,275.0,44692.5,25.0,4197.5,0.0,275.0,1,585,model
300.0,52495.0,275.0,47922.5,25.0,4572.5,0.0,275.0,1,18517,model
325.0,55582.5,275.0,47871.875,50.0,7710.625,0.0,275.0,2,261,model
300.0,54695.0,250.0,45700.0,50.0,8995.0,0.0,250.0,2,414,model
300.0,52985.0,250.0,44771.25,50.0,8213.75,0.0,250.0,2,429,model
300.0,52932.5,250.0,44762.5,50.0,8170.0,0.0,250.0,2,585,model
300.0,54470.0,250.0,45400.0,50.0,9070.0,0.0,250.0,2,18517,model
325.0,61270.0,275.0,52280.0,50.0,8990.0,0.0,275.0,3,261,model
325.0,65742.5,275.0,56072.5,50.0,9670.0,0.0,275.0,3,414,model
325.0,64337.5,275.0,54722.5,50.0,9615.0,0.0,275.0,3,429,model
325.0,64997.5,275.0,55302.5,50.0,9695.0,0.0,275.0,3,585,model
325.0,65787.5,275.0,56122.5,50.0,9665.0,0.0,275.0,3,18517,model
325.0,54507.5,275.0,45950.0,50.0,8557.5,25.0,300.0,4,261,model
300.0,55220.0,250.0,45925.0,50.0,9295.0,0.0,250.0,4,414,model
325.0,55977.5,275.0,47317.5,50.0,8660.0,0.0,275.0,4,429,model
325.0,57232.5,275.0,48645.0,50.0,8587.5,25.0,300.0,4,585,model
325.0,57317.5,275.0,48435.0,50.0,8882.5,0.0,275.0,4,18517,model
325.0,58500.0,275.0,50397.5,50.0,8102.5,0.0,275.0,5,261,model
325.0,60417.5,275.0,51122.5,50.0,9295.0,0.0,275.0,5,414,model
325.0,61337.5,275.0,52892.5,50.0,8445.0,0.0,275.0,5,429,model
325.0,61612.5,275.0,53142.5,50.0,8470.0,0.0,275.0,5,585,model
325.0,62617.5,275.0,53622.5,50.0,8995.0,0.0,275.0,5,18517,model
300.0,55915.0,275.0,51422.5,25.0,4492.5,25.0,300.0,6,261,model
300.0,55770.0,275.0,51122.5,25.0,4647.5,0.0,275.0,6,414,model
300.0,56785.0,275.0,52122.5,25.0,4662.5,25.0,300.0,6,429,model
300.0,57917.5,275.0,53255.0,25.0,4662.5,25.0,300.0,6,585,model
300.0,58970.0,275.0,54072.5,25.0,4897.5,25.0,300.0,6,18517,model
300.0,52630.0,275.0,47882.5,25.0,4747.5,25.0,300.0,7,261,model
300.0,51770.0,250.0,43475.0,50.0,8295.0,0.0,250.0,7,414,model
300.0,53840.0,275.0,48992.5,25.0,4847.5,0.0,275.0,7,429,model
300.0,55050.0,275.0,50202.5,25.0,4847.5,0.0,275.0,7,585,model
300.0,56170.0,275.0,51272.5,25.0,4897.5,25.0,300.0,7,18517,model
300.0,57960.0,275.0,53492.5,25.0,4467.5,0.0,275.0,8,261,model
325.0,67267.5,275.0,57672.5,50.0,9595.0,0.0,275.0,8,414,model
300.0,61170.0,275.0,56372.5,25.0,4797.5,0.0,275.0,8,429,model
300.0,63220.0,275.0,58297.5,25.0,4922.5,0.0,275.0,8,585,model
325.0,66942.5,275.0,57147.5,50.0,9795.0,0.0,275.0,8,18517,model
325.0,60482.5,275.0,52087.5,50.0,8395.0,25.0,300.0,9,261,model
300.0,62320.0,275.0,57772.5,25.0,4547.5,0.0,275.0,9,414,model
300.0,59395.0,275.0,54697.5,25.0,4697.5,25.0,300.0,9,429,model
300.0,60370.0,275.0,55747.5,25.0,4622.5,0.0,275.0,9,585,model
300.0,63095.0,275.0,58497.5,25.0,4597.5,0.0,275.0,9,18517,model
300.0,59870.0,275.0,54022.5,25.0,5847.5,25.0,300.0,10,261,model
300.0,61995.0,275.0,56247.5,25.0,5747.5,25.0,300.0,10,414,model
300.0,61720.0,275.0,55972.5,25.0,5747.5,25.0,300.0,10,429,model
