cadence,tau,fold,val_start,val_end,model_cpl,n_fills
7,0.05,1,2021-11-05,2022-02-02,168.72833333333332,51
7,0.05,2,2022-02-03,2022-05-03,178.75538461538463,55
7,0.05,3,2022-05-04,2022-08-01,196.12923076923076,53
7,0.05,4,2022-08-02,2022-10-30,175.753125,56
7,0.05,5,2022-10-31,2023-01-28,188.87846153846155,56
7,0.05,6,2023-01-29,2023-04-28,190.21904761904761,55
7,0.05,7,2023-04-29,2023-07-27,180.61333333333334,56
7,0.05,8,2023-07-28,2023-10-25,200.9523076923077,56
7,0.05,9,2023-10-26,2024-01-23,198.97076923076924,55
7,0.05,10,2024-01-24,2024-04-22,205.73,51
7,0.05,11,2024-04-23,2024-07-21,206.14,50
7,0.05,12,2024-07-22,2024-10-19,186.3063492063492,50
7,0.05,13,2024-10-20,2025-01-17,189.40769230769232,58
7,0.05,14,2025-01-18,2025-04-17,190.39375,54
7,0.1,1,2021-11-05,2022-02-02,168.695,51
7,0.1,2,2022-02-03,2022-05-03,177.3734375,53
7,0.1,3,2022-05-04,2022-08-01,197.73538461538462,54
7,0.1,4,2022-08-02,2022-10-30,175.4875,56
7,0.1,5,2022-10-31,2023-01-28,188.47538461538463,56
7,0.1,6,2023-01-29,2023-04-28,190.28870967741935,53
7,0.1,7,2023-04-29,2023-07-27,180.33666666666667,56
7,0.1,8,2023-07-28,2023-10-25,201.340625,56
7,0.1,9,2023-10-26,2024-01-23,200.32903225806453,57
7,0.1,10,2024-01-24,2024-04-22,205.63,51
7,0.1,11,2024-04-23,2024-07-21,205.15666666666667,50
7,0.1,12,2024-07-22,2024-10-19,186.06129032258065,50
7,0.1,13,2024-10-20,2025-01-17,189.33384615384617,58
7,0.1,14,2025-01-18,2025-04-17,190.33125,54
7,0.15,1,2021-11-05,2022-02-02,168.56166666666667,51
7,0.15,2,2022-02-03,2022-05-03,177.22222222222223,51
7,0.15,3,2022-05-04,2022-08-01,197.5046153846154,53
7,0.15,4,2022-08-02,2022-10-30,175.3625,55
7,0.15,5,2022-10-31,2023-01-28,188.02923076923076,54
7,0.15,6,2023-01-29,2023-04-28,190.15967741935484,55
7,0.15,7,2023-04-29,2023-07-27,180.23666666666668,53
7,0.15,8,2023-07-28,2023-10-25,203.4225806451613,57
7,0.15,9,2023-10-26,2024-01-23,200.4344262295082,57
7,0.15,10,2024-01-24,2024-04-22,205.44333333333333,52
7,0.15,11,2024-04-23,2024-07-21,205.45666666666668,52
7,0.15,12,2024-07-22,2024-10-19,185.56333333333333,50
7,0.15,13,2024-10-20,2025-01-17,189.1646153846154,58
7,0.15,14,2025-01-18,2025-04-17,190.3,54
7,0.2,1,2021-11-05,2022-02-02,168.56166666666667,51
7,0.2,2,2022-02-03,2022-05-03,177.26507936507937,50
7,0.2,3,2022-05-04,2022-08-01,197.31692307692308,53
7,0.2,4,2022-08-02,2022-10-30,174.659375,54
7,0.2,5,2022-10-31,2023-01-28,187.56,54
7,0.2,6,2023-01-29,2023-04-28,190.0655737704918,55
7,0.2,7,2023-04-29,2023-07-27,179.64,52
7,0.2,8,2023-07-28,2023-10-25,204.0193548387097,58
7,0.2,9,2023-10-26,2024-01-23,200.4344262295082,57
7,0.2,10,2024-01-24,2024-04-22,207.37666666666667,55
7,0.2,11,2024-04-23,2024-07-21,205.04,52
7,0.2,12,2024-07-22,2024-10-19,184.86333333333334,50
7,0.2,13,2024-10-20,2025-01-17,188.80153846153846,56
7,0.2,14,2025-01-18,2025-04-17,190.20625,55
7,0.25,1,2021-11-05,2022-02-02,168.56166666666667,51
7,0.25,2,2022-02-03,2022-05-03,176.84032258064516,50
7,0.25,3,2022-05-04,2022-08-01,197.9323076923077,54
7,0.25,4,2022-08-02,2022-10-30,174.659375,54
7,0.25,5,2022-10-31,2023-01-28,187.0859375,53
7,0.25,6,2023-01-29,2023-04-28,190.0655737704918,55
7,0.25,7,2023-04-29,2023-07-27,179.64,52
7,0.25,8,2023-07-28,2023-10-25,204.57666666666665,58
7,0.25,9,2023-10-26,2024-01-23,200.4344262295082,57
7,0.25,10,2024-01-24,2024-04-22,207.37666666666667,55
7,0.25,11,2024-04-23,2024-07-21,204.87333333333333,52
7,0.25,12,2024-07-22,2024-10-19,184.86333333333334,50
7,0.25,13,2024-10-20,2025-01-17,189.03230769230768,56
7,0.25,14,2025-01-18,2025-04-17,190.20625,55
7,0.3,1,2021-11-05,2022-02-02,168.56166666666667,51
7,0.3,2,2022-02-03,2022-05-03,176.6295081967213,49
7,0.3,3,2022-05-04,2022-08-01,199.09230769230768,56
7,0.3,4,2022-08-02,2022-10-30,174.425,52
7,0.3,5,2022-10-31,2023-01-28,187.2,55
7,0.3,6,2023-01-29,2023-04-28,190.0327868852459,55
7,0.3,7,2023-04-29,2023-07-27,179.64,52
7,0.3,8,2023-07-28,2023-10-25,204.57666666666665,58
7,0.3,9,2023-10-26,2024-01-23,200.4344262295082,57
7,0.3,10,2024-01-24,2024-04-22,207.37666666666667,55
7,0.3,11,2024-04-23,2024-07-21,205.25666666666666,53
7,0.3,12,2024-07-22,2024-10-19,184.86333333333334,50
7,0.3,13,2024-10-20,2025-01-17,189.05,56
7,0.3,14,2025-01-18,2025-04-17,190.4741935483871,55
7,0.35,1,2021-11-05,2022-02-02,168.55333333333334,50
7,0.35,2,2022-02-03,2022-05-03,176.6295081967213,50
7,0.35,3,2022-05-04,2022-08-01,199.34153846153845,57
7,0.35,4,2022-08-02,2022-10-30,174.425,53
7,0.35,5,2022-10-31,2023-01-28,187.2,55
7,0.35,6,2023-01-29,2023-04-28,190.23833333333334,55
7,0.35,7,2023-04-29,2023-07-27,179.52333333333334,51
7,0.35,8,2023-07-28,2023-10-25,204.57666666666665,58
7,0.35,9,2023-10-26,2024-01-23,200.4344262295082,57
7,0.35,10,2024-01-24,2024-04-22,207.37666666666667,55
7,0.35,11,2024-04-23,2024-07-21,205.25666666666666,53
7,0.35,12,2024-07-22,2024-10-19,184.86333333333334,50
7,0.35,13,2024-10-20,2025-01-17,189.64375,55
7,0.35,14,2025-01-18,2025-04-17,190.44193548387096,55
7,0.4,1,2021-11-05,2022-02-02,168.55333333333334,50
7,0.4,2,2022-02-03,2022-05-03,176.6295081967213,50
7,0.4,3,2022-05-04,2022-08-01,200.1723076923077,59
7,0.4,4,2022-08-02,2022-10-30,174.1888888888889,51
7,0.4,5,2022-10-31,2023-01-28,187.12063492063493,55
7,0.4,6,2023-01-29,2023-04-28,190.73833333333334,56
7,0.4,7,2023-04-29,2023-07-27,179.14333333333335,50
