fold,regime,n_fills,delta_cpl_own,delta_ll_all_median,screen_all,screen_pref5,screen_all_unpaired,screen_pref5_unpaired,n_rows_pref5
1,shock,190,0.9883990719256985,-0.017767143256363305,-0.016179117247707268,-0.016873217958837287,-0.017767143132211338,-0.013459062046608017,270.0
2,normal,186,0.6306929718941205,-0.009034712581125648,0.0036181092799685666,0.01712388253337929,-0.009034712475103485,0.023879708279093637,442.0
3,shock,106,-1.0891666666666993,-0.0171052913184504,-0.015016727240392245,-0.03293432797089511,-0.017105291300355707,-0.04326805386478744,450.0
4,shock,217,-0.9511573806429112,-0.04020136993548212,-0.04217680748627186,-0.022509820721078086,-0.04020136992367568,-0.06944586070549852,383.0
5,normal,167,-0.3970023830427749,-0.00016368380209275113,-0.003288413573105957,-0.01679892469158945,0.0005562384272936316,-0.009331002142628386,360.0
6,normal,135,0.13432771499714136,-0.00637280246179861,-0.004874807895544965,0.0301641440189247,-0.006376038867671935,0.019734475361385506,360.0
7,normal,219,-0.11520737327191455,0.010548738505674227,0.0076584569908547,0.011311811570483263,0.010548721435314323,-0.0010423052934482313,360.0
8,normal,88,0.9725158562367824,-0.03799660753024228,-0.035748315240388594,-0.00892430172415323,-0.0379966074989129,-0.007418587130989751,368.0
9,normal,112,0.3878914405010221,-0.01583717636689891,-0.02035695614260442,-0.00644443522624208,-0.015837176612020665,-0.006444435226242079,450.0
10,normal,96,-0.6290909090909622,-0.010377740460849133,-0.009826760048490053,-0.009214096552996003,-0.010377740497444915,-0.011339926842913628,450.0
11,normal,160,-0.5000000000000284,0.005574405216359213,0.0061727790662571835,-0.0036890540885095202,0.00557440449981822,-0.007042714308059583,450.0
12,normal,175,-0.5324675324675354,0.002526999967047139,0.0006586466624621952,-0.002356262975397845,0.002527000642133459,-0.003942210481562958,450.0
13,normal,140,-1.6020833333333542,-0.002670432414359103,-0.0033687755452319595,-0.024349114956519573,-0.0026704315243149535,-0.020796068408124868,450.0
14,shock,169,0.07714884696014224,0.011070808625650685,0.007045471267878182,0.0078032252095625865,0.011070808639251806,0.02423490626471242,450.0
