fold,arm,delta_cpl_held,delta_cpl_own,tau_diverges
1,cand_54,0.0,0.0,False
2,cand_54,1.1469790066564087,1.1469790066564087,False
3,cand_54,-0.01230769230770079,-0.01230769230770079,False
4,cand_54,0.109375,0.109375,False
5,cand_54,0.0,0.0,False
6,cand_54,0.1727595628415486,0.1727595628415486,False
7,cand_54,-0.11666666666664582,-0.11666666666664582,False
8,cand_54,-0.7496825396825386,-0.7496825396825386,False
9,cand_54,-0.29894235854047224,-0.29894235854047224,False
10,cand_54,-0.6666666666666572,-0.6666666666666572,False
11,cand_54,-0.3166666666666629,-0.3166666666666629,False
12,cand_54,-0.18333333333333712,-0.18333333333333712,False
13,cand_54,0.12706730769232877,0.12706730769232877,False
14,cand_54,0.125,0.125,False
1,R0_64,0.0,0.0,False
2,R0_64,-0.01901110523533589,-0.01901110523533589,False
3,R0_64,0.04615384615385665,0.04615384615385665,False
4,R0_64,0.0,0.0,False
5,R0_64,0.13560096153847212,0.13560096153847212,False
6,R0_64,0.1727595628415486,0.1727595628415486,False
7,R0_64,0.0,0.0,False
8,R0_64,0.0,0.0,False
9,R0_64,0.0,0.0,False
10,R0_64,0.0,0.0,False
11,R0_64,-0.3166666666666629,-0.3166666666666629,False
12,R0_64,0.0,0.0,False
13,R0_64,-0.33846153846153015,-0.33846153846153015,False
14,R0_64,0.0,0.0,False
