fold,arm,own_tau,date,station_code,price,litres,spend_cents,emergency
1,always_buy,,2021-11-05,414,179.9,25.0,4497.5,False
1,always_buy,,2021-11-12,414,177.9,25.0,4447.5,False
1,always_buy,,2021-11-19,414,154.9,25.0,3872.5,False
1,always_buy,,2021-11-26,414,189.9,25.0,4747.5,False
1,always_buy,,2021-12-03,414,189.9,25.0,4747.5,False
1,always_buy,,2021-12-10,414,187.9,25.0,4697.5,False
1,always_buy,,2021-12-17,414,187.9,25.0,4697.5,False
1,always_buy,,2021-12-24,414,183.9,25.0,4597.5,False
1,always_buy,,2021-12-31,414,167.9,25.0,4197.5,False
1,always_buy,,2022-01-07,414,167.9,25.0,4197.5,False
1,always_buy,,2022-01-14,414,187.9,25.0,4697.5,False
1,always_buy,,2022-01-21,414,187.9,25.0,4697.5,False
1,always_buy,,2022-01-28,414,182.9,25.0,4572.5,False
1,always_buy,,2021-11-05,18517,179.9,25.0,4497.5,False
1,always_buy,,2021-11-12,18517,177.9,25.0,4447.5,False
1,always_buy,,2021-11-19,18517,155.9,25.0,3897.5,False
1,always_buy,,2021-11-26,18517,189.9,25.0,4747.5,False
1,always_buy,,2021-12-03,18517,187.9,25.0,4697.5,False
1,always_buy,,2021-12-10,18517,187.9,25.0,4697.5,False
1,always_buy,,2021-12-17,18517,187.9,25.0,4697.5,False
1,always_buy,,2021-12-24,18517,169.9,25.0,4247.5,False
1,always_buy,,2021-12-31,18517,167.9,25.0,4197.5,False
1,always_buy,,2022-01-07,18517,167.9,25.0,4197.5,False
1,always_buy,,2022-01-14,18517,187.9,25.0,4697.5,False
1,always_buy,,2022-01-21,18517,187.9,25.0,4697.5,False
1,always_buy,,2022-01-28,18517,182.9,25.0,4572.5,False
1,always_buy,,2021-11-05,429,165.9,25.0,4147.5,False
1,always_buy,,2021-11-12,429,157.9,25.0,3947.5,False
1,always_buy,,2021-11-19,429,154.9,25.0,3872.5,False
1,always_buy,,2021-11-26,429,151.9,25.0,3797.5,False
1,always_buy,,2021-12-03,429,185.9,25.0,4647.5,False
1,always_buy,,2021-12-10,429,185.9,25.0,4647.5,False
1,always_buy,,2021-12-17,429,173.9,25.0,4347.5,False
1,always_buy,,2021-12-24,429,167.9,25.0,4197.5,False
1,always_buy,,2021-12-31,429,165.9,25.0,4147.5,False
1,always_buy,,2022-01-07,429,163.9,25.0,4097.5,False
1,always_buy,,2022-01-14,429,187.9,25.0,4697.5,False
1,always_buy,,2022-01-21,429,187.5,25.0,4687.5,False
1,always_buy,,2022-01-28,429,169.7,25.0,4242.5,False
1,always_buy,,2021-11-05,585,165.9,25.0,4147.5,False
1,always_buy,,2021-11-12,585,150.5,25.0,3762.5,False
1,always_buy,,2021-11-19,585,148.5,25.0,3712.5,False
1,always_buy,,2021-11-26,585,145.9,25.0,3647.5,False
1,always_buy,,2021-12-03,585,187.9,25.0,4697.5,False
1,always_buy,,2021-12-10,585,187.9,25.0,4697.5,False
1,always_buy,,2021-12-17,585,168.9,25.0,4222.5,False
1,always_buy,,2021-12-24,585,167.9,25.0,4197.5,False
1,always_buy,,2021-12-31,585,159.9,25.0,3997.5,False
1,always_buy,,2022-01-07,585,159.9,25.0,3997.5,False
1,always_buy,,2022-01-14,585,187.9,25.0,4697.5,False
1,always_buy,,2022-01-21,585,187.9,25.0,4697.5,False
