fold,val_start,val_end,val_rows,buy_rate,ll_14,ll_15,delta
1,2021-11-05,2022-02-02,48453,0.305017233195055,0.6668402305512265,0.4553927697219973,-0.21144746082922922
2,2022-02-03,2022-05-03,51477,0.1922800473998096,0.24185385297390327,0.26473153223327783,0.02287767925937456
3,2022-05-04,2022-08-01,58826,0.07144799918403427,0.5101351571353138,0.49677048488758946,-0.013364672247724307
4,2022-08-02,2022-10-30,63501,0.3035700225193304,0.5877109864996412,0.6111319821754994,0.023420995675858203
5,2022-10-31,2023-01-28,61980,0.29714424007744433,0.4277888347759668,0.7805336577563722,0.3527448229804054
6,2023-01-29,2023-04-28,59998,0.13255441848061603,0.25441119595868666,0.2289627198006833,-0.025448476158003358
7,2023-04-29,2023-07-27,60515,0.3271750805585392,0.3241848794923161,0.2998830897487433,-0.024301789743572833
8,2023-07-28,2023-10-25,64507,0.08879656471390701,0.25285986096268637,0.2911313467855501,0.038271485822863716
9,2023-10-26,2024-01-23,64691,0.3498322796061276,0.48055389512308916,0.4567943591821325,-0.023759535940956644
10,2024-01-24,2024-04-22,63137,0.14253132077862427,0.28391485558657836,0.2669364274547506,-0.01697842813182776
11,2024-04-23,2024-07-21,64365,0.28512390274217353,0.3850196940299437,0.3362475005995021,-0.04877219343044159
12,2024-07-22,2024-10-19,66100,0.29591527987897126,0.3768229400622248,0.3589910304566949,-0.017831909605529883
13,2024-10-20,2025-01-17,63725,0.22586112200863084,0.3744378686162017,0.3462127576434942,-0.028225110972707523
14,2025-01-18,2025-04-17,59910,0.3095142714071107,0.47546377507894727,0.39573998376741487,-0.0797237913115324
