fold,val_start,val_end,val_rows,buy_rate,ll_15,ll_50,delta
1,2021-11-05,2022-02-02,48453,0.305017233195055,0.4553927697219973,0.36791040397359237,-0.08748236574840496
2,2022-02-03,2022-05-03,51477,0.1922800473998096,0.26473153223327783,0.25382718331673465,-0.010904348916543183
3,2022-05-04,2022-08-01,58826,0.07144799918403427,0.49677048488758946,0.3401424068768247,-0.15662807801076478
4,2022-08-02,2022-10-30,63501,0.3035700225193304,0.6111319821754994,0.4224536182938536,-0.18867836388164577
5,2022-10-31,2023-01-28,61980,0.29714424007744433,0.7805336577563722,0.2947914894491064,-0.4857421683072658
6,2023-01-29,2023-04-28,59998,0.13255441848061603,0.2289627198006833,0.2398253258066786,0.010862606005995284
7,2023-04-29,2023-07-27,60515,0.3271750805585392,0.2998830897487433,0.2795553988821722,-0.020327690866571102
8,2023-07-28,2023-10-25,64507,0.08879656471390701,0.2911313467855501,0.27322196809820193,-0.017909378687348154
9,2023-10-26,2024-01-23,64691,0.3498322796061276,0.4567943591821325,0.41920706413206354,-0.03758729505006897
10,2024-01-24,2024-04-22,63137,0.14253132077862427,0.2669364274547506,0.2596355612004202,-0.007300866254330407
11,2024-04-23,2024-07-21,64365,0.28512390274217353,0.3362475005995021,0.3185208568476296,-0.017726643751872495
12,2024-07-22,2024-10-19,66100,0.29591527987897126,0.3589910304566949,0.30731584968178216,-0.05167518077491273
13,2024-10-20,2025-01-17,63725,0.22586112200863084,0.3462127576434942,0.309072918473341,-0.03713983917015318
14,2025-01-18,2025-04-17,59910,0.3095142714071107,0.39573998376741487,0.3742986113870986,-0.021441372380316293
