feature,main_effect,total_partner_mass,main_effect_share,entropy_norm,n_partners_ge_5pct,top1_partner,top1_share,top2_partner,top2_share,top3_partner,top3_share
cycle_last_max_cents,0.0189330663993345,0.14766718819903588,0.11364368226793632,0.8434503392272197,5,cycle_last_min_cents,0.1470482341923133,cycle_peak_count,0.08252370435488546,station_minus_last_max_cents,0.0612378673477484
days_since_trough_entry_wollondilly,0.011522006906191843,0.05893284702303022,0.16353744651527752,0.838825475373098,4,station_minus_last_max_cents,0.1252861373344749,station_minus_last_min_cents,0.07965701408015234,days_since_trough_entry_woollahra,0.06250751261186765
days_since_trough_entry_cumberland,0.07146926924382817,0.1202705495258224,0.3727408824230131,0.8206800868616475,8,station_minus_sydney_avg_cents,0.08153867696051331,station_minus_last_max_cents,0.07774696033876348,cycle_mean_length,0.07172889593346171
cycle_mean_length,0.399548045417273,0.29810025828843906,0.5727069689627078,0.8149849644695526,5,station_minus_last_max_cents,0.18595926939296914,station_price_cents,0.07638620823029704,station_minus_lga_mean_cents,0.060849258048463806
station_minus_last_max_cents,1.439059940075886,0.750930864150297,0.6571077546530462,0.8083354803380312,7,station_minus_last_min_cents,0.13934230975183684,station_price_cents,0.10166092424969987,station_minus_sydney_avg_cents,0.08865046413087248
station_minus_last_min_cents,1.4476139617695514,0.5672040721057412,0.7184837228130307,0.8059983961354681,5,station_minus_last_max_cents,0.18447759143580048,days_since_trough_entry_blue_mountains,0.08786229196696392,days_since_trough_entry_woollahra,0.0742950746523307
cycle_peak_count,0.11979024822932371,0.19667065841525908,0.3785309518937204,0.7959214070083065,5,cycle_last_min_cents,0.18251845796764612,station_minus_last_max_cents,0.09820433863645894,station_minus_last_min_cents,0.08651933803860647
brand_mean_cents,0.04389985590656355,0.0822621625174886,0.34796412149184724,0.7916962916472728,8,station_minus_last_max_cents,0.12680028620509953,stickiness_score,0.09863306376392686,station_minus_last_min_cents,0.08608191117945774
lga_mean_cents,0.03250644034385966,0.08987578495227357,0.2656140649935275,0.7869993301195709,6,station_minus_last_max_cents,0.1470238793333543,cycle_last_min_cents,0.08278667579747084,station_price_cents,0.08205651422601938
days_since_trough_entry_hawkesbury,0.07166246560969255,0.10070881121193412,0.41574482089524895,0.7863432504877389,5,station_minus_last_max_cents,0.12440370235585123,station_minus_last_min_cents,0.0993780651003621,cycle_peak_count,0.09882925108106128
days_since_trough_entry_burwood,0.061842477364439485,0.0759796261205261,0.4487123313365015,0.7772535641253066,5,station_minus_last_max_cents,0.1734942336238031,station_minus_last_min_cents,0.10757154292539163,station_price_cents,0.07863439010923401
days_since_trough_entry_blacktown,0.010122036343266085,0.024317059731002705,0.29391120839634277,0.7762838356347112,8,days_since_trough_entry_georges_river,0.10982289166446944,station_minus_last_max_cents,0.08767634307884044,days_since_trough_entry_hawkesbury,0.08631494504748552
cycle_last_min_cents,0.125333412167159,0.18493585039240815,0.40395046268270557,0.7761658691850879,5,cycle_peak_count,0.1940998742281088,cycle_last_max_cents,0.1174147642371002,station_minus_last_max_cents,0.07261151225882832
days_since_trough_entry_campbelltown,0.004384454728784497,0.02151223578755022,0.16930560011206597,0.7746737761344059,8,days_since_trough_entry_camden,0.09757531055712663,station_minus_last_max_cents,0.09576240563223644,station_minus_last_min_cents,0.08900353331047711
cycle_pct_through,0.12101805630470755,0.14437589815912183,0.4559940204711827,0.7735125231778518,7,station_minus_last_min_cents,0.12860565213663894,station_minus_last_max_cents,0.11275815059742349,station_price_cents,0.10026130139821314
days_since_trough_entry_georges_river,0.04643068314085974,0.07740387925883575,0.3749412299855142,0.7720958901750815,5,station_minus_last_max_cents,0.21388775047219596,station_minus_last_min_cents,0.09971857598589907,station_minus_lga_mean_cents,0.07364179528179565
days_since_trough_entry_camden,0.03141208243780667,0.07321927187431235,0.3002167241771842,0.7698881389662567,7,station_minus_last_min_cents,0.17915643842609344,station_minus_last_max_cents,0.11351003022589068,days_since_trough_entry_cumberland,0.08557949997178546
stickiness_score,0.4821496025373833,0.34478393213364505,0.5830572619469261,0.7635059688830896,4,station_minus_last_max_cents,0.17866548029648407,station_minus_lga_mean_cents,0.16783228648637818,station_minus_last_min_cents,0.10159182778047969
station_price_cents,0.38008043562531557,0.2960779966966577,0.5621174231608618,0.7629859517812412,4,station_minus_last_max_cents,0.2578385646649668,station_minus_last_min_cents,0.07759514263022502,cycle_mean_length,0.07690793864177438
station_minus_brand_mean_cents,0.15698147898802867,0.1589118007906074,0.4969446614946487,0.758559602090251,5,station_minus_sydney_avg_cents,0.21440043647210233,station_minus_last_max_cents,0.1301333695481361,station_minus_lga_mean_cents,0.07849914659151556
days_since_trough_entry_fairfield,0.014144571211837808,0.027060934325424387,0.343268964363193,0.754088086018906,8,station_minus_last_max_cents,0.13156658352090406,station_minus_lga_mean_cents,0.0931036085433535,days_since_trough_entry_burwood,0.09278867512985303
days_since_trough_entry_strathfield,0.042825048715755716,0.06566281496669094,0.39474506421389527,0.7455876867256405,7,station_minus_last_max_cents,0.15234561486617068,cycle_mean_length,0.09964388444677319,station_minus_lga_mean_cents,0.09344711228147383
days_since_trough_entry_randwick,0.07003964906966131,0.10978160127915236,0.3894959518621953,0.7417458597218661,7,station_minus_last_min_cents,0.18071613255745983,station_minus_last_max_cents,0.12562260246491588,cycle_last_min_cents,0.07635858640217463
days_since_trough_entry_northern_beaches,0.004601844579159087,0.016836559427082128,0.2146542521457933,0.7404961446966326,7,stickiness_score,0.1476552835626511,days_since_trough_entry_strathfield,0.11283104859973453,station_minus_lga_mean_cents,0.09738681010067703
days_since_trough_entry_ryde,0.008897161868204502,0.028553249921391428,0.23757180343411377,0.7368891056173797,7,days_since_trough_entry_woollahra,0.15823798414402865,station_minus_last_min_cents,0.13587601720800982,station_minus_sydney_avg_cents,0.10904576002645348
days_since_trough_entry_hornsby,0.02349631360884967,0.049420733000497534,0.3222334790207711,0.7347557021137647,7,station_minus_last_max_cents,0.18939225546129632,station_minus_last_min_cents,0.1055550118328198,cycle_mean_length,0.09153694966821183
cycle_days_since_peak,0.04283881171182812,0.07440198353780013,0.365391684870578,0.7300773247577514,7,cycle_mean_length,0.15824028912187274,station_minus_last_min_cents,0.11522293365908462,station_minus_last_max_cents,0.11117571221483533
station_minus_lga_mean_cents,0.42488160455892815,0.32254457398522857,0.5684596241819042,0.7268245030592672,4,station_minus_sydney_avg_cents,0.199989819433768,stickiness_score,0.17940427569060252,station_minus_last_max_cents,0.1218024168557056
days_since_trough_entry_canada_bay,0.016747297196056887,0.02216240893319195,0.4304143840209517,0.7198577196402184,6,cycle_peak_count,0.20375845332049364,cycle_mean_length,0.10638168432098805,station_minus_last_max_cents,0.089651034045568
days_since_trough_entry_sydney,0.023130317243576826,0.03195948329247118,0.41986569235155435,0.7154365956851538,8,station_minus_last_min_cents,0.19254374374884173,station_minus_last_max_cents,0.10834672178199167,stickiness_score,0.10814060870262963
station_minus_sydney_avg_cents,0.2889059770480278,0.34945805362823085,0.4525724557850977,0.7080226332605921,5,station_minus_last_max_cents,0.19049602361701903,station_minus_lga_mean_cents,0.18458762200762288,station_minus_last_min_cents,0.11054101439857507
days_since_trough_entry_mosman,0.048517307607662395,0.07183896566105179,0.4031140736581294,0.7012754974474158,4,cycle_mean_length,0.1877880315528906,station_minus_last_min_cents,0.16078975194654632,station_minus_last_max_cents,0.14275412704314347
days_since_trough_entry_the_hills_shire,0.0023148887282346785,0.003801163482028631,0.3784939448930926,0.6989563199811377,6,cycle_mean_length,0.20378590574998973,days_since_trough_entry_hawkesbury,0.10301671944643442,days_since_trough_entry_canada_bay,0.10034322945965193
days_since_trough_entry_liverpool,0.013249485792375601,0.03382870747653171,0.2814357321806186,0.6937813798435701,4,station_price_cents,0.24258081219999406,station_minus_last_max_cents,0.18632881275860239,days_since_trough_entry_woollahra,0.06050165861328373
days_since_trough_entry_willoughby,0.009945816159411923,0.023452749679774457,0.29779171379097197,0.6908492770163072,8,station_minus_lga_mean_cents,0.19843374082950843,cycle_last_max_cents,0.12341959604306484,stickiness_score,0.0972731693695528
days_since_trough_entry_woollahra,0.12419475820803841,0.1939372677751495,0.39038747458453504,0.6900383544461303,2,station_minus_last_max_cents,0.25757497817867964,station_minus_last_min_cents,0.21728917481223675,station_minus_sydney_avg_cents,0.04721908738571887
days_since_trough_entry_north_sydney,0.02272264040671816,0.038026053169963256,0.37404327679962357,0.6730578379120553,6,station_minus_last_min_cents,0.21402402668486079,cycle_mean_length,0.11888484598498138,station_minus_last_max_cents,0.1188164873098817
days_since_trough_entry_rockdale,0.011312702502187221,0.017358585630049203,0.394565547596302,0.6594670969291203,6,station_minus_last_max_cents,0.1975945080554938,stickiness_score,0.13616438984338194,station_minus_last_min_cents,0.12080583651453768
days_since_trough_entry_penrith,0.024066297477226953,0.03307646188355664,0.42116092653627385,0.6379883403906117,5,station_minus_last_min_cents,0.2152512577273173,station_minus_last_max_cents,0.19819997662394237,stickiness_score,0.15713001472637697
days_since_trough_entry_inner_west,0.0042294843426504735,0.00845880140476692,0.3333377279520485,0.6274323747394197,8,cycle_mean_length,0.2198904347523054,days_since_trough_entry_georges_river,0.1783394051951736,station_minus_last_max_cents,0.10773120456811741
days_since_trough_entry_canterbury_bankstown,0.013121557502509677,0.018519637746320042,0.4146985409154223,0.6235176971712597,8,station_minus_last_min_cents,0.29323187217796987,station_minus_sydney_avg_cents,0.10171840021636203,station_minus_last_max_cents,0.08896949931847349
days_since_trough_entry_sutherland_shire,0.019932776590474204,0.02744229860535023,0.4207439567764749,0.6148478223114141,6,station_minus_last_min_cents,0.26796875676589005,station_minus_last_max_cents,0.22474621571179765,stickiness_score,0.09434925439662459
days_since_trough_entry_ku_ring_gai,0.016177777170840353,0.016941350421640612,0.48847232239635424,0.5858961700997246,7,stickiness_score,0.27933594696800024,station_minus_last_max_cents,0.13335728364865473,station_minus_lga_mean_cents,0.13028860615561644
days_since_trough_entry_blue_mountains,0.11955672955705283,0.1040550659007291,0.5346619989893387,0.5444653954262605,3,station_minus_last_min_cents,0.47893727572812284,station_minus_last_max_cents,0.1391357635478898,station_price_cents,0.06731944465097975
days_since_trough_entry_parramatta,0.06076488850113796,0.045223999396831305,0.5733137662472088,0.3886800568899804,3,station_minus_last_min_cents,0.5248492775817641,station_minus_last_max_cents,0.2601261128983251,brand_mean_cents,0.09151666349393472
days_since_trough_entry_bayside,0.0,0.0,,0.0,0,,0.0,,0.0,,0.0
days_since_trough_entry_botany_bay,0.0,0.0,,0.0,0,,0.0,,0.0,,0.0
days_since_trough_entry_hunters_hill,0.0,0.0,,0.0,0,,0.0,,0.0,,0.0
days_since_trough_entry_lane_cove,0.0,0.0,,0.0,0,,0.0,,0.0,,0.0
days_since_trough_entry_waverley,0.0,0.0,,0.0,0,,0.0,,0.0,,0.0
