,cycle_pct_through,cycle_days_since_peak,cycle_mean_length,cycle_last_min_cents,cycle_last_max_cents,cycle_peak_count,station_price_cents,station_minus_last_min_cents,station_minus_last_max_cents,station_minus_sydney_avg_cents,lga_mean_cents,station_minus_lga_mean_cents,brand_mean_cents,station_minus_brand_mean_cents,stickiness_score,days_since_trough_entry_bayside,days_since_trough_entry_blacktown,days_since_trough_entry_blue_mountains,days_since_trough_entry_botany_bay,days_since_trough_entry_burwood,days_since_trough_entry_camden,days_since_trough_entry_campbelltown,days_since_trough_entry_canada_bay,days_since_trough_entry_canterbury_bankstown,days_since_trough_entry_cumberland,days_since_trough_entry_fairfield,days_since_trough_entry_georges_river,days_since_trough_entry_hawkesbury,days_since_trough_entry_hornsby,days_since_trough_entry_hunters_hill,days_since_trough_entry_inner_west,days_since_trough_entry_ku_ring_gai,days_since_trough_entry_lane_cove,days_since_trough_entry_liverpool,days_since_trough_entry_mosman,days_since_trough_entry_north_sydney,days_since_trough_entry_northern_beaches,days_since_trough_entry_parramatta,days_since_trough_entry_penrith,days_since_trough_entry_randwick,days_since_trough_entry_rockdale,days_since_trough_entry_ryde,days_since_trough_entry_strathfield,days_since_trough_entry_sutherland_shire,days_since_trough_entry_sydney,days_since_trough_entry_the_hills_shire,days_since_trough_entry_waverley,days_since_trough_entry_willoughby,days_since_trough_entry_wollondilly,days_since_trough_entry_woollahra
cycle_pct_through,0.12101805630470755,0.004401643606285477,0.010487114005105066,0.004670099002512593,0.003394339438270828,0.00269424661414916,0.01447531543996944,0.018567556535566833,0.016279559267264536,0.006829905158051325,0.001218360116608868,0.008030737384588064,0.0008418778557554593,0.003672917683097636,0.009349116995354467,0.0,0.0005145731715565146,0.0014657650043174073,0.0,0.0012806802359694347,0.0011562597594230633,0.0,0.0,0.0,0.0009602682791857723,0.00027819746800895927,0.0008970612774665808,0.0035234937771672836,0.00017215003610696316,0.0,0.0,0.0,0.0,0.000779524624452536,0.0042737767018543775,0.003998623030746254,0.0003588140613295081,0.0,0.0005273250735168465,0.00148537890770017,4.862692597249866e-06,0.00018034300457759586,0.005675908170899798,0.0013058671770926347,1.0110080373290281e-05,0.0003267855414638565,0.0,0.0,0.002025460284430569,0.008261880696305405
cycle_days_since_peak,0.004401643606285479,0.04283881171182812,0.011773391386262308,0.0032898773099287217,4.835345844880844e-05,0.0009041225965451928,0.00505119695685239,0.00857281481328025,0.008271693510011382,0.0025897232629223305,0.0016056152516125781,0.0012925303151998118,0.00127522719988102,0.003355149240002335,0.0054078817377130935,0.0,0.00042182566680658843,0.0,0.0,0.00025890938468536357,9.24888366685046e-05,0.00013696591248201637,0.0,0.0,0.0,0.0005379350667377035,0.0018239390025007718,0.0011463018294714095,6.68460868917606e-05,0.0,0.0005369391443730281,0.0,0.0,0.0,0.0028310576110998306,0.0,0.0,0.0,0.0,0.0017626682707241258,6.434107196709198e-05,1.2106547552087022e-05,0.0039020414356112382,0.0,0.00018511900463205253,0.0002178351132825197,0.0,9.66005831619948e-07,0.00040813409451975616,0.002156342807016944
cycle_mean_length,0.010487114005105071,0.011773391386262311,0.399548045417273,0.011475484111194244,0.0057539662191540926,0.007013086034754239,0.022770748403126036,0.017893760083055908,0.05543450623717352,0.013891209107913914,0.004377448179321331,0.01813917954090694,0.006149975266933269,0.00453816691708164,0.016126762506688565,0.0,0.0005459581230499061,0.0035594356770439475,0.0,0.0037820307419416097,0.003931529151691216,0.0016492105744904141,0.0023576743909234673,0.0014533711136497144,0.008626873730797973,0.002079659927555926,0.0055552435409209205,0.00971987580019773,0.004523823149232679,0.0,0.0018600095183776086,0.0,0.0,0.0010912304054350474,0.01349049795028462,0.0045207214745277965,0.0008424194531296418,0.000322867355660283,0.0007439119821449078,0.0023963704500497853,0.0003872232443056606,0.0016348691819548212,0.006542897946990801,0.0014977269418150934,0.0002690095719891746,0.000774623543088982,0.0,0.0008988800675452797,0.0021356596597561397,0.00508185562121684
cycle_last_min_cents,0.004670099002512591,0.0032898773099287204,0.011475484111194246,0.125333412167159,0.021714199272812238,0.035896025301434764,0.008277036567849609,0.006378268801758422,0.013428471767865184,0.00459575265352604,0.00744051747088708,0.011676715441791094,0.0008101322880313083,0.0018300936306767364,0.005337656037998554,0.0,0.001894245438790559,0.0012550244198706755,0.0,0.0026806902961514596,0.0008226199496519353,0.0002129438146828688,0.001882991166413199,0.0008319352082282768,0.005774505507030477,0.000709921355201433,0.002230773827195575,0.00458324507211107,0.00099654140630967,0.0,1.1479280941869202e-06,3.097605870476759e-05,0.0,0.00020173951908596707,0.001608406460787966,0.0008350145565961862,0.00020480358366395824,0.00029863680442703157,0.0014285763146039902,0.00838276788664324,0.0002904220454888124,0.0005170769551888304,0.0011562406839477533,0.00032722085815095804,0.002131364513943671,0.00010307891002975194,0.0,0.0012405129283864366,0.0032932576486260396,0.002188839616134821
cycle_last_max_cents,0.0033943394382708286,4.835345844880848e-05,0.0057539662191540926,0.02171419927281223,0.0189330663993345,0.012186043381854467,0.00784567325205504,0.005361910253601427,0.009042823682547557,0.0050607409932532125,0.004049143643053125,0.0046882469422902225,0.0024266589890870557,0.00251304784096107,0.0041441954374570175,0.0,0.0006862370724635569,0.0020648068652938997,0.0,0.0042528156798933995,0.0021853431376215628,0.0017263832717819892,0.0013686753146660551,0.0001931942599239892,0.003900880165874699,0.002026782607001463,0.0024646346265086586,0.008946979470442012,0.0021002401261018123,0.0,0.0001008751974200998,0.0014626931152688432,0.0,0.0006350974193161169,0.0016581476735468166,0.000595387006435925,0.0011509830258775318,0.00023100973844205995,0.0010346924264965321,0.007197599640917519,0.00013638983319776008,0.0007120531269885382,0.0019890186205883437,0.0005920504158617002,0.0009926517070681627,0.0001505325975077464,0.0,0.002894528891576881,0.0023703684033585474,0.003616793956747468
cycle_peak_count,0.0026942466141491616,0.0009041225965451939,0.007013086034754243,0.03589602530143475,0.012186043381854464,0.11979024822932371,0.009099565998476838,0.017015815177705104,0.019313911938867445,0.007082047963042651,0.0066936532078000315,0.003066201921201977,0.002825161730964093,0.003489470144319778,0.00820727232490927,0.0,0.0018825546817237131,0.0014354135329802684,0.0,0.003726094306750806,0.0012647954097432007,0.0002635201475138817,0.00451577816608348,2.1716333419365705e-05,0.0067625321885411505,0.0006562602704493287,0.0011272659629749922,0.00995297638933944,0.0033372936916811384,0.0,0.0006578836590987742,0.0001413568241094988,0.0,0.0013865014456283355,0.0022741785546483598,0.0028202613114259594,0.0005104504354972966,0.00030892118099112793,0.0004852523939276041,0.006067186165259875,0.0006288175957738336,0.00046300997462564295,0.0021981920065877714,0.0016648270405518234,0.0005045926206527374,0.00011592544240923103,0.0,0.0006209232793895262,0.0018607260834072278,0.0035288269840486617
station_price_cents,0.01447531543996944,0.005051196956852387,0.022770748403126026,0.00827703656784961,0.007845673252055043,0.009099565998476835,0.38008043562531557,0.022974214383348443,0.076340325697145,0.0077730743940260145,0.007374893626510892,0.015692822080919606,0.0016649074939186152,0.009159682530267109,0.013647505074886103,0.0,0.0016229431683009489,0.007004929249558185,0.0,0.005974611560715194,0.0012542511118720115,0.00027501875087571764,0.00044905510359863327,8.579182099346868e-05,0.008332251185431079,0.0014446716466918073,0.0013470457569683114,0.0029129800730987743,0.0025246941466412006,0.0,0.0003078467886389863,0.0015009195046098108,0.0,0.008206195335333075,0.0031517622771881876,0.0006449038710473064,0.0006922651555162466,0.0002982644621522325,0.0009947388709317254,0.004211275407452042,0.001600913786958915,0.0019038593426492648,0.0019097263036778488,0.0007899783171953351,0.0017658479940589984,0.00010141910235696192,0.0,0.0016859801037268543,0.0021222069628959958,0.00881468763617143
station_minus_last_min_cents,0.018567556535566833,0.008572814813280257,0.017893760083055908,0.006378268801758415,0.005361910253601432,0.017015815177705115,0.022974214383348443,1.4476139617695514,0.10463644107464523,0.03862944773781627,0.005621047938882304,0.01336488753528544,0.007081284167260568,0.012223565248454258,0.03502722985479787,0.0,0.002028721735363068,0.04983584978820549,0.0,0.008173245612679377,0.013117703973153627,0.0019146649945000606,0.00023264919868085757,0.005430548048411225,0.004679420350246308,0.0007383720790176538,0.007718604615475568,0.010008246796799661,0.005216606056654147,0.0,0.0004968772513743973,0.0,0.0,0.0017938489614536008,0.011550969468736981,0.008138489018368151,0.0005719294033233225,0.023735783412785188,0.0071197500216052334,0.019839306409133492,0.002097018457747326,0.0038797018776635887,0.004948488160187682,0.007353678640074024,0.0061535985614109626,0.00010186182549572716,0.0,0.00014501027643717837,0.004694414625096984,0.04214046888020201
station_minus_last_max_cents,0.016279559267264532,0.008271693510011382,0.05543450623717349,0.013428471767865179,0.009042823682547557,0.01931391193886745,0.07634032569714501,0.10463644107464519,1.439059940075886,0.06657036963712097,0.01321388656181357,0.039286708655094774,0.010430865751067957,0.020679728097843894,0.06160098683316809,0.0,0.002132030871644051,0.014477781045123936,0.0,0.013182027004803767,0.008311121763570902,0.002060063449543694,0.001986882877801391,0.001647682897849598,0.009350669643905405,0.003560314676079649,0.016555741612493846,0.012528548974621065,0.009359904089514749,0.0,0.0009112768645380224,0.0022592524735699834,0.0,0.0063032629012602075,0.010255308830625807,0.004518122063913827,0.0011368077761992348,0.011763943172813927,0.006555753972123646,0.013791050455452855,0.003429961188108737,0.001890927391170785,0.010003441919944124,0.006167552761985608,0.003462705244585587,0.00012174515123420548,0.0,0.001339848083333594,0.007383468765638959,0.04995338751521687
station_minus_sydney_avg_cents,0.006829905158051322,0.0025897232629223284,0.013891209107913909,0.004595752653526042,0.00506074099325321,0.007082047963042651,0.0077730743940260145,0.038629447737816285,0.06657036963712097,0.2889059770480278,0.004256602502830119,0.06450563111064749,0.006536021648542814,0.034070759450074005,0.02644173932663209,0.0,0.0005595675775696175,0.0007646666370945644,0.0,0.0017015502011458012,0.0027790056407450887,0.0010303978864037266,0.0006071155281097076,0.0018837879241422266,0.00980670148564945,0.001617872553993151,0.0024666386054857333,0.004177444475051062,0.0008966162087707444,0.0,3.080385012668509e-05,0.0013305369507933256,0.0,0.0009572904116824236,0.0032969802735392964,0.001447124004690433,0.000584302703520397,0.00020108265270595666,0.00029300124849053,0.0034579599959542566,0.0004262873292210426,0.0031136108389034026,0.002198416089482788,0.00045706679583925464,0.0006986913712673726,5.698796111831241e-05,0.0,0.0017802765025626722,0.002845704183350232,0.009157540794422336
