feature,cluster_id,mean_abs_shap,siblings
station_minus_last_max_cents,1,1.4384863380492627,"station_price_cents,station_minus_last_min_cents"
station_minus_last_min_cents,1,1.2403782928670046,"station_price_cents,station_minus_last_max_cents"
station_price_cents,1,0.33953242080321083,"station_minus_last_min_cents,station_minus_last_max_cents"
station_minus_sydney_avg_cents,2,0.252662111818273,
station_minus_lga_mean_cents,3,0.4224335427249222,
station_minus_brand_mean_cents,4,0.14497641148237383,
days_since_trough_entry_wollondilly,5,0.019598627147713252,
cycle_peak_count,6,0.05199808929810374,
stickiness_score,7,0.46193363578300545,
cycle_last_min_cents,8,0.09340248395567492,
cycle_last_max_cents,9,0.045118865183798394,
days_since_trough_entry_burwood,10,0.053387555625073746,days_since_trough_entry_hornsby
days_since_trough_entry_hornsby,10,0.023744364785612163,days_since_trough_entry_burwood
days_since_trough_entry_strathfield,11,0.040476883955909246,
days_since_trough_entry_randwick,12,0.09126987998034866,
days_since_trough_entry_mosman,13,0.03968868072143029,days_since_trough_entry_rockdale
days_since_trough_entry_rockdale,13,0.0126802442178493,days_since_trough_entry_mosman
days_since_trough_entry_fairfield,14,0.01171164849475456,
days_since_trough_entry_sydney,15,0.02254022733589549,days_since_trough_entry_north_sydney
days_since_trough_entry_north_sydney,15,0.02080091237026675,days_since_trough_entry_sydney
days_since_trough_entry_penrith,16,0.024553215884880134,
days_since_trough_entry_blacktown,17,0.007950282186857286,
days_since_trough_entry_inner_west,18,0.002660829202899282,
days_since_trough_entry_canterbury_bankstown,19,0.008429086412742622,
days_since_trough_entry_liverpool,20,0.014494099085353375,
days_since_trough_entry_georges_river,21,0.032639799161061196,
days_since_trough_entry_woollahra,22,0.12771780813549788,
days_since_trough_entry_the_hills_shire,23,0.0012370341129129664,
days_since_trough_entry_northern_beaches,24,0.005052371176869608,
days_since_trough_entry_blue_mountains,25,0.09763261934665143,
days_since_trough_entry_cumberland,26,0.08880194922138634,
days_since_trough_entry_willoughby,27,0.010575035561869757,
days_since_trough_entry_ku_ring_gai,28,0.01205862133978474,days_since_trough_entry_canada_bay
days_since_trough_entry_canada_bay,28,0.0094092472790245,days_since_trough_entry_ku_ring_gai
cycle_mean_length,29,0.44512156555512183,
days_since_trough_entry_sutherland_shire,30,0.012371815823188153,
brand_mean_cents,31,0.04338595994948322,
days_since_trough_entry_hawkesbury,32,0.04358364256212987,days_since_trough_entry_parramatta
days_since_trough_entry_parramatta,32,0.04005618302212201,days_since_trough_entry_hawkesbury
days_since_trough_entry_camden,33,0.031462731585223606,
cycle_pct_through,34,0.12227532542623785,
cycle_days_since_peak,35,0.05205711468694658,
lga_mean_cents,36,0.03026701028609303,
days_since_trough_entry_campbelltown,37,0.005125529296229451,
days_since_trough_entry_ryde,38,0.008867541298187837,
days_since_trough_entry_bayside,39,0.0,
days_since_trough_entry_botany_bay,40,0.0,
days_since_trough_entry_hunters_hill,41,0.0,
days_since_trough_entry_lane_cove,42,0.0,
days_since_trough_entry_waverley,43,0.0,
