feature,mean_abs_shap,kind
station_minus_last_max_cents,1.4630510960086769,base
station_minus_last_min_cents,1.2636773634981127,base
stickiness_score,0.48763836846557185,base
cycle_mean_length,0.4649235214807296,base
station_minus_lga_mean_cents,0.4344353640314339,base
station_price_cents,0.3224914925275284,base
station_minus_sydney_avg_cents,0.2608683077660103,base
cycle_pct_through,0.1452869919891322,base
station_minus_brand_mean_cents,0.14155713636145004,base
days_since_trough_entry_woollahra,0.12832454129296336,lga
cycle_last_min_cents,0.11043368825814126,base
days_since_trough_entry_blue_mountains,0.0878764744088218,lga
days_since_trough_entry_randwick,0.07860153011291823,lga
days_since_trough_entry_burwood,0.06535230872490898,lga
days_since_trough_entry_cumberland,0.056327327210818845,lga
brand_mean_cents,0.05606928328731213,base
days_since_trough_entry_parramatta,0.04710119307996407,lga
days_since_trough_entry_mosman,0.04639964835684088,lga
cycle_last_max_cents,0.0456353382427251,base
days_since_trough_entry_hawkesbury,0.043655217613889505,lga
cycle_peak_count,0.04146838878269061,base
cycle_days_since_peak,0.040456929371786264,base
days_since_trough_entry_strathfield,0.04024105677315135,lga
days_since_trough_entry_georges_river,0.0390329959459365,lga
days_since_trough_entry_camden,0.029070990476191272,lga
days_since_trough_entry_hornsby,0.02741097761932531,lga
days_since_trough_entry_penrith,0.027344294431281318,lga
lga_mean_cents,0.026934386030917797,base
days_since_trough_entry_wollondilly,0.018434730340768833,lga
days_since_trough_entry_blacktown,0.01680424754597686,lga
days_since_trough_entry_north_sydney,0.01421598569233508,lga
days_since_trough_entry_fairfield,0.013749998108021112,lga
days_since_trough_entry_sydney,0.013652340179575269,lga
days_since_trough_entry_canada_bay,0.013460456163102116,lga
days_since_trough_entry_ryde,0.013188291955787185,lga
days_since_trough_entry_ku_ring_gai,0.012169145423938913,lga
days_since_trough_entry_liverpool,0.01189784286765268,lga
days_since_trough_entry_northern_beaches,0.009119747408080971,lga
days_since_trough_entry_campbelltown,0.008547428080711654,lga
days_since_trough_entry_the_hills_shire,0.007909027535990432,lga
days_since_trough_entry_sutherland_shire,0.007105689692377709,lga
days_since_trough_entry_rockdale,0.006527640777722529,lga
days_since_trough_entry_canterbury_bankstown,0.005551455449849357,lga
days_since_trough_entry_willoughby,0.0031182216895970383,lga
days_since_trough_entry_inner_west,0.0017848728076263096,lga
days_since_trough_entry_botany_bay,0.0,lga
days_since_trough_entry_waverley,0.0,lga
days_since_trough_entry_hunters_hill,0.0,lga
days_since_trough_entry_bayside,0.0,lga
days_since_trough_entry_lane_cove,0.0,lga
